Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	PiB,mN/m	Unused    	Unused    	Unused    	Unused    
1.130000	73.029044	7.536502	700.007172	700.007172	0.474166	3.151239	0.000000		0.000000	12799.679664
1.690000	73.031884	7.536795	700.007172	700.007172	0.477553	3.161133	0.000000		0.000000	12799.679664
2.250000	73.031884	7.536795	700.007172	700.007172	0.474166	3.161133	0.000000		0.000000	12799.184742
2.810000	73.031884	7.536795	700.007172	700.007172	0.474166	3.156186	0.000000		0.000000	12799.184742
3.380000	73.031884	7.536795	700.007172	700.007172	0.474166	3.151239	0.000000		0.000000	12799.679664
3.940000	73.031884	7.536795	700.007172	700.007172	0.474166	3.151239	0.000000		0.000000	12799.679664
4.500000	73.031884	7.536795	700.007172	700.007172	0.484327	3.151239	0.000000		0.000000	12799.679664
5.060000	73.031884	7.536795	700.007172	700.007172	0.477553	3.156186	0.000000		0.000000	12799.184742
5.630000	73.023365	7.535916	700.007172	700.007172	0.477553	3.156186	0.000000		0.000000	12799.679664
6.190000	73.003487	7.533865	700.007172	700.007172	0.477553	3.161133	0.000000		0.000000	12799.679664
6.750000	72.966571	7.530055	700.007172	700.007172	0.484327	3.180921	0.000000		0.000000	12799.679664
7.300000	72.898418	7.523022	700.007172	700.007172	0.494487	3.195762	0.000000		0.000000	12799.679664
7.850000	72.838784	7.516868	700.007172	700.007172	0.508035	3.205656	0.000000		0.000000	12799.679664
8.400000	72.767791	7.509541	700.007172	700.007172	0.521583	3.230391	0.000000		0.000000	12799.184742
8.960000	72.722356	7.504853	700.007172	700.007172	0.538517	3.255126	0.000000		0.000000	12799.679664
9.520000	72.682600	7.500750	700.007172	700.007172	0.552065	3.269967	0.000000		0.000000	12799.679664
10.070000	72.611608	7.493424	700.007172	700.007172	0.568999	3.279861	0.000000		0.000000	12799.679664
10.620000	72.523577	7.484339	700.007172	700.007172	0.585934	3.309543	0.000000		0.000000	12799.184742
11.170000	72.483821	7.480236	700.007172	700.007172	0.602868	3.324384	0.000000		0.000000	12799.679664
11.720000	72.415668	7.473203	700.007172	700.007172	0.619803	3.339225	0.000000		0.000000	12799.679664
12.270000	72.361713	7.467635	700.007172	700.007172	0.640124	3.359013	0.000000		0.000000	12799.679664
12.830000	72.276522	7.458843	700.007172	700.007172	0.660446	3.393642	0.000000		0.000000	12799.184742
13.380000	72.250965	7.456206	700.007172	700.007172	0.673993	3.403536	0.000000		0.000000	12799.679664
13.940000	72.222568	7.453275	700.007172	700.007172	0.694314	3.423324	0.000000		0.000000	12799.679664
14.490000	72.168613	7.447707	700.007172	700.007172	0.711249	3.448059	0.000000		0.000000	12799.679664
15.050000	72.100460	7.440674	700.007172	700.007172	0.731570	3.462900	0.000000		0.000000	12799.679664
15.610000	72.029468	7.433347	700.007172	700.007172	0.748505	3.487635	0.000000		0.000000	12799.184742
16.160000	71.932918	7.423384	700.007172	700.007172	0.765439	3.507423	0.000000		0.000000	12799.184742
16.720000	71.881803	7.418109	700.007172	700.007172	0.775600	3.512370	0.000000		0.000000	12799.679664
17.270000	71.810810	7.410782	700.007172	700.007172	0.795921	3.542052	0.000000		0.000000	12799.679664
17.820000	71.751176	7.404628	700.007172	700.007172	0.816243	3.561840	0.000000		0.000000	12799.184742
18.370000	71.700062	7.399353	700.007172	700.007172	0.826404	3.576681	0.000000		0.000000	12799.679664
18.920000	71.623390	7.391441	700.007172	700.007172	0.843338	3.591522	0.000000		0.000000	12799.679664
19.470000	71.577954	7.386752	700.007172	700.007172	0.867046	3.611310	0.000000		0.000000	12799.679664
20.020000	71.501282	7.378839	700.007172	700.007172	0.880594	3.626151	0.000000		0.000000	12799.679664
20.570000	71.427450	7.371220	700.007172	700.007172	0.904302	3.645939	0.000000		0.000000	12799.679664
