Name           :	1mgmlAuChl_O_0S2	
User           :	Isaac	
Date           :	7/25/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	Au NP	
MW             :	197.0	
Concentration  :	1.500	
Unit           :	mg/ml           	
Volume         :	395.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
100.07	16.471	18.293	53.88	0.30	14.731	0.000	-19.00		-1.09	0.000
100.36	16.561	18.269	53.79	0.30	14.984	0.000	-32.19		-1.09	0.000
100.63	16.652	18.197	53.70	0.30	15.237	0.000	-37.13		-1.09	0.000
100.90	16.743	18.077	53.61	0.30	15.495	0.000	-46.64		-1.09	0.000
101.19	16.802	17.909	53.55	0.30	15.341	0.000	-84.49		-1.09	0.000
101.46	16.890	17.692	53.46	0.30	15.522	0.000	-109.60		-1.09	0.000
101.74	16.980	17.416	53.37	0.29	15.779	0.000	-128.15		-1.09	0.000
102.02	17.065	17.103	53.29	0.29	15.885	0.000	-118.84		-1.09	0.000
102.30	17.122	16.743	53.23	0.29	15.881	0.000	-103.46		-1.09	0.000
102.58	17.203	16.322	53.15	0.29	15.837	0.000	-122.92		-1.09	0.000
102.86	17.285	15.877	53.06	0.29	15.867	0.000	-200.98		-1.09	0.000
103.13	17.362	15.385	52.99	0.29	16.007	0.000	-247.44		-1.09	0.000
103.42	17.438	14.832	52.91	0.29	16.172	0.000	-323.73		-1.09	0.000
103.69	17.486	14.255	52.86	0.29	16.224	0.000	-334.07		-1.09	0.000
103.97	17.556	13.630	52.79	0.29	16.175	0.000	-318.89		-1.09	0.000
104.24	17.624	12.993	52.73	0.29	16.115	0.000	-293.55		-1.09	0.000
104.53	17.685	12.284	52.66	0.29	16.152	0.000	-246.14		-1.09	0.000
104.80	17.726	11.563	52.62	0.29	16.308	0.000	-222.91		-1.09	0.000
105.08	17.783	10.793	52.57	0.29	16.232	0.000	-226.89		-1.09	0.000
105.35	17.833	10.024	52.52	0.29	16.198	0.000	-223.69		-1.09	0.000
105.63	17.881	9.207	52.47	0.29	16.287	0.000	-209.28		-1.09	0.000
105.91	17.911	8.365	52.44	0.29	16.401	0.000	-163.87		-1.09	0.000
106.19	17.951	7.500	52.40	0.29	16.463	0.000	-127.71		-1.09	0.000
106.47	17.985	6.623	52.36	0.29	16.370	0.000	-63.63		-1.09	0.000
106.74	18.016	5.709	52.33	0.29	16.231	0.000	-47.53		-1.09	0.000
107.01	18.033	4.808	52.32	0.29	16.169	0.000	-81.78		-1.09	0.000
107.29	18.054	3.894	52.30	0.29	16.242	0.000	-122.11		-1.09	0.000
107.57	18.070	2.957	52.28	0.29	16.325	0.000	-210.45		-1.09	0.000
107.84	18.077	2.019	52.27	0.29	16.316	0.000	-245.30		-1.09	0.000
108.11	18.085	1.058	52.26	0.29	16.087	0.000	-270.56		-1.09	0.000
108.38	18.085	0.132	52.26	0.29	16.161	0.000	-280.32		-1.09	0.000
108.66	18.085	-0.817	52.26	0.29	16.194	0.000	-288.33		-1.09	0.000
108.93	18.085	-1.731	52.26	0.29	16.080	0.000	-293.33		-1.09	0.000
109.20	18.085	-2.668	52.26	0.29	15.908	0.000	-328.57		-1.09	0.000
109.48	18.071	-3.594	52.28	0.29	15.793	0.000	-357.69		-1.09	0.000
109.75	18.051	-4.519	52.30	0.29	15.806	0.000	-416.18		-1.09	0.000
110.03	18.033	-5.433	52.32	0.29	15.894	0.000	-427.58		-1.09	0.000
110.31	18.003	-6.322	52.35	0.29	15.910	0.000	-421.23		-1.09	0.000
110.59	17.970	-7.212	52.38	0.29	15.780	0.000	-408.17		-1.09	0.000
110.88	17.930	-8.089	52.42	0.29	15.589	0.000	-398.00		-1.09	0.000
111.15	17.886	-8.954	52.46	0.29	15.468	0.000	-361.24		-1.09	0.000
111.44	17.856	-9.796	52.49	0.29	15.660	0.000	-335.25		-1.09	0.000
111.72	17.804	-10.589	52.55	0.29	15.476	0.000	-288.19		-1.09	0.000
112.00	17.749	-11.382	52.60	0.29	15.344	0.000	-263.48		-1.09	0.000
112.28	17.692	-12.115	52.66	0.29	15.332	0.000	-198.24		-1.09	0.000
112.56	17.629	-12.812	52.72	0.29	15.412	0.000	-161.56		-1.09	0.000
112.84	17.586	-13.498	52.76	0.29	15.428	0.000	-89.90		-1.09	0.000
113.12	17.516	-14.135	52.83	0.29	15.306	0.000	-37.79		-1.09	0.000
113.41	17.444	-14.724	52.91	0.29	15.076	0.000	-24.02		-1.09	0.000
113.68	17.370	-15.276	52.98	0.29	14.896	0.000	-34.29		-1.09	0.000
113.96	17.290	-15.793	53.06	0.29	14.827	0.000	-47.95		-1.09	0.000
114.24	17.236	-16.250	53.11	0.29	14.844	0.000	-62.23		-1.09	0.000
114.52	17.154	-16.659	53.20	0.29	14.767	0.000	-66.08		-1.09	0.000
114.80	17.071	-17.043	53.28	0.29	14.539	0.000	-69.39		-1.09	0.000
115.08	16.985	-17.368	53.36	0.29	14.209	0.000	-81.00		-1.09	0.000
115.37	16.897	-17.644	53.45	0.30	13.894	0.000	-100.32		-1.09	0.000
115.65	16.839	-17.873	53.51	0.30	13.709	0.000	-104.68		-1.09	0.000
115.93	16.748	-18.065	53.60	0.30	13.581	0.000	-104.68		-1.09	0.000
116.21	16.657	-18.185	53.69	0.30	13.371	0.000	-94.38		-1.09	0.000
116.49	16.566	-18.257	53.78	0.30	13.000	0.000	-79.30		-1.09	0.000
116.77	16.504	-18.293	53.85	0.30	12.823	0.000	-34.99		-1.09	0.000
117.05	16.415	-18.257	53.94	0.30	12.635	0.000	-10.00		-1.09	0.000
117.33	16.324	-18.185	54.03	0.30	12.314	0.000	17.47		-1.09	0.000
117.60	16.231	-18.065	54.12	0.30	11.877	0.000	16.77		-1.09	0.000
117.87	16.172	-17.885	54.18	0.30	11.461	0.000	16.50		-1.09	0.000
118.14	16.083	-17.668	54.27	0.30	11.145	0.000	16.58		-1.09	0.000
118.42	15.994	-17.404	54.36	0.30	10.958	0.000	6.21		-1.09	0.000
118.70	15.910	-17.079	54.44	0.30	10.741	0.000	-17.84		-1.09	0.000
118.97	15.852	-16.719	54.50	0.30	10.384	0.000	-77.89		-1.09	0.000
119.25	15.771	-16.310	54.58	0.30	9.926	0.000	-108.93		-1.09	0.000
119.54	15.690	-15.865	54.66	0.30	9.520	0.000	-167.47		-1.09	0.000
119.82	15.612	-15.361	54.74	0.30	9.610	0.000	-248.54		-1.09	0.000
120.10	15.535	-14.808	54.81	0.30	9.231	0.000	-296.99		-1.09	0.000
120.38	15.490	-14.219	54.86	0.30	8.863	0.000	-381.52		-1.09	0.000
120.66	15.419	-13.582	54.93	0.30	8.657	0.000	-402.53		-1.09	0.000
120.93	15.352	-12.933	55.00	0.30	8.562	0.000	-409.19		-1.09	0.000
121.21	15.289	-12.236	55.06	0.30	8.423	0.000	-405.78		-1.09	0.000
121.50	15.251	-11.502	55.10	0.30	8.185	0.000	-375.05		-1.09	0.000
121.78	15.194	-10.745	55.16	0.30	7.838	0.000	-356.84		-1.09	0.000
122.06	15.142	-9.940	55.21	0.30	7.487	0.000	-340.44		-1.09	0.000
122.33	15.094	-9.111	55.26	0.30	7.292	0.000	-338.42		-1.09	0.000
122.61	15.051	-8.257	55.30	0.31	7.231	0.000	-333.10		-1.09	0.000
122.89	15.025	-7.404	55.32	0.31	7.187	0.000	-309.89		-1.09	0.000
123.17	14.990	-6.502	55.36	0.31	7.054	0.000	-295.52		-1.09	0.000
123.45	14.962	-5.601	55.39	0.31	6.843	0.000	-298.94		-1.09	0.000
123.73	14.937	-4.663	55.41	0.31	6.668	0.000	-316.03		-1.09	0.000
124.01	14.926	-3.738	55.42	0.31	6.885	0.000	-367.54		-1.09	0.000
124.28	14.907	-2.788	55.44	0.31	6.749	0.000	-394.64		-1.09	0.000
124.56	14.896	-1.839	55.45	0.31	6.590	0.000	-427.01		-1.09	0.000
124.83	14.892	-0.913	55.46	0.31	6.538	0.000	-420.88		-1.09	0.000
125.10	14.890	0.048	55.46	0.31	6.639	0.000	-378.62		-1.09	0.000
125.37	14.890	0.974	55.46	0.31	6.761	0.000	-347.07		-1.09	0.000
125.64	14.890	1.911	55.46	0.31	6.788	0.000	-274.80		-1.09	0.000
125.91	14.892	2.825	55.46	0.31	6.692	0.000	-234.26		-1.09	0.000
126.19	14.906	3.750	55.44	0.31	6.573	0.000	-148.73		-1.09	0.000
126.46	14.926	4.651	55.42	0.31	6.559	0.000	-103.81		-1.09	0.000
126.74	14.955	5.577	55.40	0.31	6.759	0.000	-29.96		-1.09	0.000
127.01	14.975	6.454	55.37	0.31	6.632	0.000	-1.37		-1.09	0.000
127.29	15.008	7.344	55.34	0.31	6.575	0.000	27.33		-1.09	0.000
127.55	15.048	8.209	55.30	0.31	6.650	0.000	19.48		-1.09	0.000
127.83	15.090	9.038	55.26	0.31	6.784	0.000	-29.62		-1.09	0.000
128.10	15.122	9.832	55.23	0.30	6.873	0.000	-68.56		-1.09	0.000
128.38	15.172	10.613	55.18	0.30	6.828	0.000	-170.77		-1.09	0.000
128.65	15.228	11.358	55.12	0.30	6.718	0.000	-223.88		-1.09	0.000
128.93	15.266	12.091	55.08	0.30	6.715	0.000	-306.78		-1.09	0.000
129.20	15.329	12.788	55.02	0.30	6.955	0.000	-336.48		-1.09	0.000
129.47	15.394	13.450	54.96	0.30	6.858	0.000	-366.73		-1.09	0.000
129.75	15.463	14.063	54.89	0.30	6.814	0.000	-372.54		-1.09	0.000
130.02	15.511	14.651	54.84	0.30	6.887	0.000	-365.94		-1.09	0.000
130.29	15.587	15.192	54.76	0.30	7.085	0.000	-335.97		-1.09	0.000
130.57	15.662	15.697	54.69	0.30	7.224	0.000	-319.54		-1.09	0.000
130.85	15.742	16.166	54.61	0.30	7.266	0.000	-259.35		-1.09	0.000
131.12	15.797	16.587	54.55	0.30	7.210	0.000	-230.23		-1.09	0.000
131.40	15.880	16.959	54.47	0.30	7.235	0.000	-165.84		-1.09	0.000
131.67	15.966	17.296	54.38	0.30	7.424	0.000	-144.02		-1.09	0.000
131.95	16.053	17.584	54.30	0.30	7.594	0.000	-143.71		-1.09	0.000
132.23	16.113	17.825	54.24	0.30	7.782	0.000	-160.26		-1.09	0.000
132.51	16.202	18.005	54.15	0.30	8.138	0.000	-191.02		-1.09	0.000
132.78	16.294	18.149	54.06	0.30	8.670	0.000	-194.33		-1.09	0.000
133.06	16.383	18.245	53.97	0.30	9.170	0.000	-166.27		-1.09	0.000
133.33	16.444	18.281	53.91	0.30	9.595	0.000	-137.47		-1.09	0.000
133.61	16.537	18.281	53.81	0.30	9.878	0.000	-88.02		-1.09	0.000
133.89	16.628	18.221	53.72	0.30	10.144	0.000	-94.90		-1.09	0.000
134.17	16.719	18.113	53.63	0.30	10.550	0.000	-121.37		-1.09	0.000
134.44	16.779	17.957	53.57	0.30	11.036	0.000	-142.32		-1.09	0.000
134.72	16.869	17.752	53.48	0.30	11.497	0.000	-157.87		-1.09	0.000
135.00	16.957	17.500	53.39	0.29	11.843	0.000	-113.02		-1.09	0.000
135.27	17.042	17.188	53.31	0.29	12.058	0.000	-90.22		-1.09	0.000
135.55	17.099	16.851	53.25	0.29	12.344	0.000	-68.11		-1.09	0.000
135.83	17.183	16.454	53.17	0.29	12.687	0.000	-74.36		-1.09	0.000
136.11	17.262	16.010	53.09	0.29	12.908	0.000	-96.78		-1.09	0.000
136.39	17.343	15.529	53.01	0.29	13.072	0.000	-103.32		-1.09	0.000
136.66	17.393	15.000	52.96	0.29	13.293	0.000	-50.39		-1.09	0.000
