Name           :	1mgmlAuDDT_O11	
User           :	Isaac	
Date           :	8/6/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	Au NP	
MW             :	197.0	
Concentration  :	1.000	
Unit           :	mg/ml           	
Volume         :	400.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
13.44	14.034	19.111	56.32	0.46	2.901	1.566	-135.71		-0.69	0.000
13.72	14.130	19.087	56.22	0.46	3.025	1.567	-69.02		-0.69	0.000
14.00	14.225	19.014	56.12	0.46	3.070	1.603	40.57		-0.69	0.000
14.29	14.320	18.882	56.03	0.46	3.131	1.623	71.57		-0.69	0.000
14.57	14.414	18.702	55.94	0.46	3.195	1.670	77.99		-0.69	0.000
14.85	14.475	18.450	55.87	0.46	3.239	1.715	84.97		-0.69	0.000
15.14	14.567	18.161	55.78	0.46	3.333	1.753	93.14		-0.69	0.000
15.42	14.656	17.825	55.69	0.46	3.374	1.798	93.72		-0.69	0.000
15.69	14.744	17.416	55.61	0.45	3.435	1.839	72.90		-0.69	0.000
15.97	14.831	16.983	55.52	0.45	3.496	1.880	-15.75		-0.69	0.000
16.25	14.887	16.514	55.46	0.45	3.533	1.923	-69.96		-0.69	0.000
16.54	14.969	15.986	55.38	0.45	3.597	1.957	-189.05		-0.69	0.000
16.82	15.046	15.409	55.30	0.45	3.636	1.992	-267.71		-0.69	0.000
17.10	15.122	14.760	55.23	0.45	3.680	2.025	-282.48		-0.69	0.000
17.39	15.192	14.099	55.16	0.45	3.723	2.063	-277.17		-0.69	0.000
17.67	15.239	13.401	55.11	0.45	3.761	2.097	-264.33		-0.69	0.000
17.95	15.305	12.632	55.05	0.45	3.794	2.123	-261.51		-0.69	0.000
18.23	15.366	11.863	54.98	0.45	3.816	2.148	-279.46		-0.69	0.000
18.51	15.421	11.058	54.93	0.45	3.852	2.176	-334.12		-0.69	0.000
18.79	15.476	10.240	54.87	0.45	3.879	2.197	-346.80		-0.69	0.000
19.06	15.507	9.351	54.84	0.45	3.900	2.221	-321.63		-0.69	0.000
19.35	15.552	8.462	54.80	0.45	3.918	2.239	-240.29		-0.69	0.000
19.63	15.592	7.572	54.76	0.45	3.928	2.256	-204.53		-0.69	0.000
19.90	15.626	6.599	54.72	0.45	3.939	2.272	-185.41		-0.69	0.000
20.18	15.647	5.649	54.70	0.45	3.947	2.286	-198.07		-0.69	0.000
20.46	15.674	4.712	54.68	0.45	3.950	2.292	-251.00		-0.69	0.000
20.74	15.690	3.726	54.66	0.45	3.947	2.294	-286.02		-0.69	0.000
21.02	15.704	2.728	54.65	0.45	3.941	2.295	-325.61		-0.69	0.000
21.30	15.713	1.731	54.64	0.45	3.921	2.295	-331.84		-0.69	0.000
21.58	15.721	0.721	54.63	0.45	3.911	2.287	-319.44		-0.69	0.000
21.86	15.721	-0.276	54.63	0.45	3.881	2.281	-309.40		-0.69	0.000
22.15	15.721	-1.286	54.63	0.45	3.863	2.270	-309.63		-0.69	0.000
22.42	15.721	-2.284	54.63	0.45	3.841	2.257	-305.46		-0.69	0.000
22.71	15.712	-3.317	54.64	0.45	3.823	2.240	-284.13		-0.69	0.000
22.98	15.698	-4.279	54.65	0.45	3.808	2.226	-212.08		-0.69	0.000
23.27	15.672	-5.288	54.68	0.45	3.790	2.211	-186.78		-0.69	0.000
23.55	15.644	-6.214	54.71	0.45	3.769	2.198	-142.12		-0.69	0.000
23.83	15.610	-7.188	54.74	0.45	3.744	2.181	-130.31		-0.69	0.000
24.11	15.584	-8.113	54.77	0.45	3.723	2.158	-122.61		-0.69	0.000
24.39	15.542	-9.014	54.81	0.45	3.699	2.136	-127.80		-0.69	0.000
24.67	15.494	-9.892	54.86	0.45	3.661	2.108	-160.54		-0.69	0.000
24.95	15.443	-10.709	54.91	0.45	3.615	2.072	-174.52		-0.69	0.000
25.23	15.385	-11.563	54.96	0.45	3.573	2.034	-202.86		-0.69	0.000
25.52	15.347	-12.356	55.00	0.45	3.558	2.000	-268.11		-0.69	0.000
25.80	15.283	-13.101	55.07	0.45	3.543	1.978	-315.15		-0.69	0.000
26.08	15.215	-13.846	55.14	0.45	3.506	1.961	-391.22		-0.69	0.000
26.36	15.144	-14.519	55.21	0.45	3.453	1.938	-421.95		-0.69	0.000
26.64	15.070	-15.156	55.28	0.45	3.399	1.923	-449.03		-0.69	0.000
26.92	15.019	-15.745	55.33	0.45	3.336	1.878	-446.57		-0.69	0.000
27.24	14.938	-16.298	55.41	0.45	3.280	1.829	-430.40		-0.69	0.000
27.53	14.826	-16.803	55.52	0.45	3.220	1.747	-423.22		-0.69	0.000
27.81	14.771	-17.320	55.58	0.45	3.166	1.688	-439.82		-0.69	0.000
28.07	14.683	-17.728	55.67	0.46	3.114	1.657	-506.68		-0.69	0.000
28.35	14.594	-18.077	55.76	0.46	3.065	1.603	-526.80		-0.69	0.000
28.62	14.533	-18.365	55.82	0.46	3.016	1.549	-538.37		-0.69	0.000
28.89	14.440	-18.618	55.91	0.46	2.940	1.502	-528.80		-0.69	0.000
29.17	14.347	-18.822	56.00	0.46	2.903	1.457	-497.80		-0.69	0.000
29.44	14.255	-18.966	56.10	0.46	2.831	1.409	-478.94		-0.69	0.000
29.72	14.188	-19.063	56.16	0.46	2.772	1.368	-433.50		-0.69	0.000
29.99	14.094	-19.111	56.26	0.46	2.704	1.331	-402.65		-0.69	0.000
30.26	13.998	-19.111	56.35	0.46	2.648	1.303	-329.13		-0.69	0.000
30.53	13.934	-19.050	56.42	0.46	2.607	1.276	-299.24		-0.69	0.000
30.80	13.840	-18.942	56.51	0.46	2.566	1.266	-242.09		-0.69	0.000
31.07	13.744	-18.798	56.61	0.46	2.521	1.250	-211.05		-0.69	0.000
31.34	13.652	-18.594	56.70	0.46	2.496	1.231	-170.60		-0.69	0.000
31.62	13.590	-18.341	56.76	0.46	2.470	1.216	-159.18		-0.69	0.000
31.90	13.498	-18.041	56.85	0.46	2.436	1.201	-144.52		-0.69	0.000
32.16	13.411	-17.692	56.94	0.47	2.413	1.189	-135.05		-0.69	0.000
32.44	13.352	-17.284	57.00	0.47	2.384	1.176	-126.15		-0.69	0.000
32.71	13.265	-16.851	57.09	0.47	2.366	1.162	-126.25		-0.69	0.000
32.98	13.185	-16.358	57.16	0.47	2.347	1.152	-165.92		-0.69	0.000
33.26	13.103	-15.841	57.25	0.47	2.324	1.146	-196.67		-0.69	0.000
33.53	13.051	-15.264	57.30	0.47	2.313	1.139	-231.22		-0.69	0.000
33.80	12.976	-14.651	57.37	0.47	2.290	1.132	-234.86		-0.69	0.000
34.08	12.906	-13.990	57.44	0.47	2.285	1.122	-258.66		-0.69	0.000
34.35	12.858	-13.317	57.49	0.47	2.273	1.114	-273.83		-0.69	0.000
34.62	12.794	-12.584	57.56	0.47	2.257	1.106	-272.54		-0.69	0.000
34.89	12.734	-11.839	57.62	0.47	2.247	1.097	-257.40		-0.69	0.000
35.17	12.675	-11.058	57.67	0.47	2.235	1.090	-222.78		-0.69	0.000
35.44	12.641	-10.228	57.71	0.47	2.223	1.086	-217.94		-0.69	0.000
35.71	12.592	-9.387	57.76	0.47	2.212	1.079	-213.72		-0.69	0.000
35.99	12.548	-8.510	57.80	0.47	2.208	1.075	-196.63		-0.69	0.000
36.26	12.520	-7.620	57.83	0.47	2.193	1.073	-140.67		-0.69	0.000
36.53	12.485	-6.707	57.86	0.47	2.190	1.069	-100.59		-0.69	0.000
36.80	12.455	-5.781	57.90	0.47	2.184	1.065	-82.78		-0.69	0.000
37.07	12.434	-4.844	57.92	0.47	2.178	1.062	-42.76		-0.69	0.000
37.34	12.419	-3.882	57.93	0.47	2.175	1.058	-37.35		-0.69	0.000
37.61	12.400	-2.933	57.95	0.47	2.168	1.056	-39.51		-0.69	0.000
37.89	12.389	-1.971	57.96	0.47	2.165	1.054	-69.81		-0.69	0.000
38.15	12.387	-1.010	57.96	0.47	2.160	1.052	-78.71		-0.69	0.000
38.42	12.384	-0.012	57.97	0.47	2.153	1.050	-55.68		-0.69	0.000
38.68	12.384	0.925	57.97	0.47	2.167	1.050	-32.73		-0.69	0.000
38.94	12.384	1.899	57.97	0.47	2.153	1.048	2.28		-0.69	0.000
39.21	12.384	2.825	57.97	0.47	2.155	1.046	13.20		-0.69	0.000
39.47	12.394	3.762	57.96	0.47	2.156	1.045	47.55		-0.69	0.000
39.74	12.416	4.700	57.93	0.47	2.152	1.045	67.15		-0.69	0.000
