Name           :	.2mgmlPOPG_O1	
User           :	Isaac	
Date           :	7/29/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	POPG	
MW             :	771.0	
Concentration  :	0.200	
Unit           :	mg/ml           	
Volume         :	0.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
185.15	30.555	13.510	39.79		10.919	10.983	104.31		-1.22	0.000
185.41	30.621	13.498	39.73		10.948	10.995	116.26		-1.22	0.000
185.70	30.687	13.438	39.66		10.985	11.008	140.52		-1.22	0.000
185.97	30.732	13.353	39.62		11.023	11.034	151.20		-1.22	0.000
186.24	30.800	13.233	39.55		11.063	11.073	160.69		-1.22	0.000
186.52	30.864	13.077	39.49		11.096	11.108	131.27		-1.22	0.000
186.79	30.908	12.885	39.44		11.134	11.123	117.11		-1.22	0.000
187.06	30.973	12.656	39.38		11.171	11.158	99.77		-1.22	0.000
187.33	31.033	12.404	39.32		11.189	11.191	90.48		-1.22	0.000
187.61	31.095	12.103	39.26		11.223	11.229	73.46		-1.22	0.000
187.88	31.136	11.779	39.21		11.255	11.263	51.19		-1.22	0.000
188.16	31.194	11.418	39.16		11.285	11.297	-16.90		-1.22	0.000
188.43	31.249	11.034	39.10		11.314	11.329	-64.41		-1.22	0.000
188.70	31.305	10.625	39.04		11.342	11.362	-165.86		-1.22	0.000
188.98	31.338	10.180	39.01		11.369	11.391	-209.30		-1.22	0.000
189.26	31.388	9.700	38.96		11.392	11.422	-244.40		-1.22	0.000
189.54	31.435	9.195	38.92		11.413	11.449	-251.56		-1.22	0.000
189.82	31.478	8.678	38.87		11.433	11.468	-295.14		-1.22	0.000
190.10	31.508	8.113	38.84		11.453	11.493	-323.65		-1.22	0.000
190.37	31.545	7.524	38.81		11.481	11.507	-364.92		-1.22	0.000
190.65	31.582	6.935	38.77		11.501	11.530	-371.60		-1.22	0.000
190.93	31.615	6.310	38.73		11.517	11.550	-382.55		-1.22	0.000
191.20	31.636	5.685	38.71		11.531	11.568	-388.66		-1.22	0.000
191.48	31.659	5.036	38.69		11.542	11.585	-392.27		-1.22	0.000
191.76	31.683	4.375	38.67		11.552	11.599	-381.65		-1.22	0.000
192.04	31.705	3.714	38.64		11.559	11.608	-384.69		-1.22	0.000
192.31	31.713	3.017	38.64		11.563	11.614	-377.36		-1.22	0.000
192.58	31.727	2.320	38.62		11.567	11.621	-360.16		-1.22	0.000
192.85	31.736	1.635	38.61		11.562	11.626	-293.03		-1.22	0.000
193.12	31.740	0.950	38.61		11.562	11.629	-263.60		-1.22	0.000
193.39	31.741	0.252	38.61		11.541	11.634	-207.35		-1.22	0.000
193.67	31.742	-0.421	38.61		11.539	11.633	-182.06		-1.22	0.000
193.94	31.742	-1.106	38.61		11.537	11.626	-119.69		-1.22	0.000
194.21	31.742	-1.791	38.61		11.532	11.620	-90.09		-1.22	0.000
194.49	31.742	-2.488	38.61		11.529	11.616	-44.92		-1.22	0.000
194.76	31.728	-3.173	38.62		11.525	11.611	-32.72		-1.22	0.000
195.04	31.708	-3.834	38.64		11.518	11.606	-17.70		-1.22	0.000
195.31	31.697	-4.495	38.65		11.513	11.601	-22.70		-1.22	0.000
195.59	31.669	-5.156	38.68		11.504	11.598	-31.71		-1.22	0.000
195.87	31.640	-5.805	38.71		11.491	11.592	-34.22		-1.22	0.000
196.15	31.609	-6.430	38.74		11.484	11.580	-25.38		-1.22	0.000
196.42	31.587	-7.043	38.76		11.470	11.567	-18.83		-1.22	0.000
196.70	31.551	-7.632	38.80		11.465	11.553	0.34		-1.22	0.000
196.97	31.510	-8.197	38.84		11.461	11.548	6.35		-1.22	0.000
197.25	31.467	-8.750	38.88		11.453	11.543	17.72		-1.22	0.000
197.52	31.438	-9.267	38.91		11.443	11.536	12.95		-1.22	0.000
197.80	31.390	-9.772	38.96		11.418	11.530	-16.51		-1.22	0.000
198.08	31.340	-10.240	39.01		11.395	11.517	-34.85		-1.22	0.000
198.35	31.288	-10.685	39.06		11.368	11.498	-64.88		-1.22	0.000
198.63	31.250	-11.106	39.10		11.340	11.475	-85.88		-1.22	0.000
198.91	31.195	-11.490	39.16		11.313	11.455	-97.14		-1.22	0.000
199.19	31.136	-11.851	39.21		11.284	11.428	-116.17		-1.22	0.000
199.47	31.076	-12.175	39.27		11.289	11.399	-121.98		-1.22	0.000
199.75	31.036	-12.464	39.31		11.261	11.373	-100.43		-1.22	0.000
200.03	30.973	-12.716	39.38		11.231	11.344	-81.17		-1.22	0.000
200.30	30.909	-12.945	39.44		11.198	11.309	-37.13		-1.22	0.000
200.57	30.842	-13.125	39.51		11.171	11.290	-5.92		-1.22	0.000
200.85	30.799	-13.269	39.55		11.141	11.259	80.90		-1.22	0.000
201.13	30.732	-13.389	39.62		11.110	11.228	128.90		-1.22	0.000
201.41	30.664	-13.462	39.69		11.078	11.200	185.22		-1.22	0.000
201.68	30.597	-13.498	39.75		11.046	11.173	198.20		-1.22	0.000
201.96	30.553	-13.510	39.80		11.014	11.143	214.11		-1.22	0.000
202.23	30.486	-13.474	39.86		10.984	11.110	216.76		-1.22	0.000
202.51	30.418	-13.401	39.93		10.951	11.077	204.68		-1.22	0.000
202.79	30.351	-13.293	40.00		10.923	11.045	159.38		-1.22	0.000
203.08	30.285	-13.149	40.07		10.890	11.013	136.92		-1.22	0.000
203.35	30.241	-12.969	40.11		10.852	10.978	99.23		-1.22	0.000
203.63	30.177	-12.752	40.17		10.810	10.946	81.84		-1.22	0.000
203.90	30.114	-12.500	40.24		10.773	10.908	56.93		-1.22	0.000
204.17	30.053	-12.224	40.30		10.736	10.868	56.95		-1.22	0.000
204.45	30.013	-11.899	40.34		10.701	10.848	70.15		-1.22	0.000
204.73	29.954	-11.563	40.40		10.664	10.811	74.45		-1.22	0.000
205.01	29.895	-11.178	40.46		10.629	10.772	78.93		-1.22	0.000
205.29	29.842	-10.769	40.51		10.599	10.737	83.13		-1.22	0.000
205.56	29.805	-10.325	40.54		10.567	10.699	113.44		-1.22	0.000
205.84	29.757	-9.844	40.59		10.538	10.665	143.70		-1.22	0.000
206.13	29.709	-9.351	40.64		10.510	10.629	200.81		-1.22	0.000
206.40	29.664	-8.834	40.69		10.482	10.597	228.79		-1.22	0.000
206.68	29.636	-8.269	40.71		10.454	10.571	283.00		-1.22	0.000
206.96	29.595	-7.704	40.76		10.430	10.543	320.10		-1.22	0.000
207.23	29.559	-7.103	40.79		10.407	10.519	334.83		-1.22	0.000
207.52	29.524	-6.502	40.83		10.389	10.497	344.86		-1.22	0.000
207.79	29.494	-5.877	40.86		10.372	10.472	327.88		-1.22	0.000
208.07	29.476	-5.216	40.87		10.355	10.450	257.86		-1.22	0.000
208.34	29.454	-4.567	40.90		10.341	10.435	212.25		-1.22	0.000
208.62	29.431	-3.906	40.92		10.330	10.430	111.72		-1.22	0.000
208.90	29.414	-3.233	40.94		10.320	10.415	68.59		-1.22	0.000
209.17	29.405	-2.536	40.94		10.313	10.402	-0.54		-1.22	0.000
209.44	29.395	-1.839	40.96		10.329	10.387	-31.12		-1.22	0.000
209.71	29.391	-1.154	40.96		10.324	10.378	-83.11		-1.22	0.000
209.98	29.389	-0.469	40.96		10.322	10.372	-109.11		-1.22	0.000
210.25	29.387	0.216	40.96		10.319	10.367	-162.30		-1.22	0.000
210.52	29.387	0.901	40.96		10.321	10.366	-182.94		-1.22	0.000
210.80	29.387	1.599	40.96		10.319	10.368	-205.75		-1.22	0.000
211.07	29.387	2.272	40.96		10.319	10.370	-214.19		-1.22	0.000
211.34	29.395	2.957	40.96		10.318	10.371	-232.05		-1.22	0.000
211.61	29.414	3.630	40.94		10.319	10.371	-239.18		-1.22	0.000
211.90	29.431	4.291	40.92		10.315	10.371	-274.32		-1.22	0.000
212.17	29.453	4.940	40.90		10.319	10.371	-298.77		-1.22	0.000
212.45	29.480	5.601	40.87		10.329	10.374	-329.24		-1.22	0.000
212.73	29.510	6.238	40.84		10.335	10.384	-342.62		-1.22	0.000
213.01	29.533	6.863	40.82		10.337	10.389	-346.29		-1.22	0.000
213.29	29.569	7.452	40.78		10.338	10.391	-322.47		-1.22	0.000
213.57	29.608	8.041	40.74		10.339	10.391	-302.96		-1.22	0.000
213.85	29.650	8.606	40.70		10.345	10.393	-274.40		-1.22	0.000
214.12	29.680	9.135	40.67		10.362	10.400	-272.88		-1.22	0.000
214.39	29.726	9.651	40.62		10.379	10.410	-277.52		-1.22	0.000
214.67	29.774	10.120	40.58		10.399	10.422	-271.93		-1.22	0.000
214.95	29.827	10.577	40.52		10.417	10.435	-223.10		-1.22	0.000
215.23	29.862	10.998	40.49		10.440	10.439	-201.31		-1.22	0.000
215.51	29.918	11.394	40.43		10.432	10.460	-155.12		-1.22	0.000
215.78	29.976	11.755	40.37		10.456	10.482	-137.33		-1.22	0.000
216.06	30.036	12.091	40.31		10.480	10.507	-111.19		-1.22	0.000
216.34	30.098	12.392	40.25		10.502	10.529	-96.88		-1.22	0.000
216.62	30.139	12.656	40.21		10.526	10.554	-76.35		-1.22	0.000
216.89	30.204	12.885	40.15		10.548	10.576	-60.67		-1.22	0.000
217.17	30.267	13.077	40.08		10.573	10.599	-26.73		-1.22	0.000
217.45	30.333	13.233	40.02		10.597	10.625	-8.05		-1.22	0.000
217.72	30.378	13.365	39.97		10.621	10.648	-13.26		-1.22	0.000
217.99	30.445	13.450	39.91		10.647	10.671	-40.43		-1.22	0.000
218.28	30.513	13.498	39.84		10.674	10.696	-60.06		-1.22	0.000
218.55	30.580	13.510	39.77		10.699	10.722	-119.52		-1.22	0.000
218.82	30.624	13.486	39.73		10.732	10.749	-149.05		-1.22	0.000
219.10	30.692	13.425	39.66		10.758	10.758	-193.76		-1.22	0.000
219.38	30.759	13.329	39.59		10.779	10.783	-195.85		-1.22	0.000
219.66	30.824	13.197	39.53		10.811	10.812	-161.39		-1.22	0.000
219.94	30.869	13.017	39.48		10.848	10.839	-125.95		-1.22	0.000
220.22	30.933	12.825	39.42		10.885	10.871	-75.57		-1.22	0.000
220.49	30.997	12.572	39.35		10.920	10.907	-58.38		-1.22	0.000
220.77	31.059	12.296	39.29		10.959	10.947	-54.87		-1.22	0.000
221.03	31.100	11.995	39.25		10.994	10.987	-46.96		-1.22	0.000
221.31	31.159	11.659	39.19		11.026	11.026	-26.08		-1.22	0.000
221.58	31.215	11.298	39.13		11.059	11.059	1.52		-1.22	0.000
221.86	31.272	10.889	39.08		11.076	11.094	50.82		-1.22	0.000
222.12	31.306	10.469	39.04		11.108	11.129	54.23		-1.22	0.000
222.40	31.359	10.012	38.99		11.140	11.147	12.20		-1.22	0.000
222.67	31.406	9.543	38.94		11.167	11.176	-14.98		-1.22	0.000
222.94	31.438	9.038	38.91		11.193	11.205	-52.58		-1.22	0.000
223.22	31.482	8.510	38.87		11.214	11.231	-54.07		-1.22	0.000
223.49	31.522	7.969	38.83		11.236	11.254	-17.36		-1.22	0.000
223.76	31.549	7.392	38.80		11.260	11.277	5.44		-1.22	0.000
224.04	31.585	6.791	38.77		11.278	11.301	56.46		-1.22	0.000
224.32	31.617	6.190	38.73		11.266	11.320	73.12		-1.22	0.000
224.59	31.644	5.553	38.71		11.285	11.336	60.63		-1.22	0.000
224.86	31.662	4.904	38.69		11.297	11.353	41.98		-1.22	0.000
225.13	31.686	4.255	38.66		11.308	11.360	58.33		-1.22	0.000
225.40	31.704	3.594	38.65		11.314	11.373	107.40		-1.22	0.000
225.68	31.717	2.921	38.63		11.322	11.384	112.51		-1.22	0.000
225.95	31.726	2.236	38.62		11.326	11.392	97.27		-1.22	0.000
226.22	31.735	1.550	38.62		11.329	11.401	81.06		-1.22	0.000
226.49	31.737	0.877	38.61		11.328	11.408	38.49		-1.22	0.000
226.76	31.744	0.180	38.61		11.349	11.410	7.86		-1.22	0.000
227.03	31.744	-0.505	38.61		11.347	11.413	-87.67		-1.22	0.000
227.30	31.744	-1.190	38.61		11.343	11.413	-132.02		-1.22	0.000
227.57	31.744	-1.863	38.61		11.340	11.412	-206.08		-1.22	0.000
227.84	31.744	-2.548	38.61		11.335	11.409	-241.82		-1.22	0.000
228.12	31.724	-3.221	38.63		11.330	11.405	-314.84		-1.22	0.000
228.39	31.705	-3.894	38.64		11.326	11.402	-357.00		-1.22	0.000
228.67	31.690	-4.555	38.66		11.320	11.398	-402.82		-1.22	0.000
228.95	31.667	-5.204	38.68		11.310	11.395	-418.08		-1.22	0.000
229.22	31.638	-5.853	38.71		11.296	11.388	-440.14		-1.22	0.000
229.50	31.606	-6.478	38.74		11.285	11.379	-444.88		-1.22	0.000
229.77	31.585	-7.091	38.77		11.278	11.368	-447.19		-1.22	0.000
230.06	31.546	-7.680	38.80		11.278	11.361	-437.86		-1.22	0.000
230.34	31.505	-8.245	38.84		11.276	11.355	-403.50		-1.22	0.000
230.61	31.464	-8.798	38.89		11.271	11.348	-373.69		-1.22	0.000
230.89	31.433	-9.327	38.92		11.260	11.344	-301.11		-1.22	0.000
231.16	31.386	-9.820	38.96		11.238	11.339	-259.12		-1.22	0.000
231.45	31.335	-10.300	39.02		11.216	11.325	-185.66		-1.22	0.000
231.72	31.282	-10.733	39.07		11.191	11.306	-175.00		-1.22	0.000
232.00	31.246	-11.154	39.10		11.168	11.284	-189.28		-1.22	0.000
232.28	31.190	-11.526	39.16		11.142	11.263	-240.45		-1.22	0.000
232.56	31.131	-11.887	39.22		11.115	11.235	-250.51		-1.22	0.000
232.84	31.071	-12.212	39.28		11.081	11.209	-220.48		-1.22	0.000
233.12	31.009	-12.500	39.34		11.054	11.179	-194.94		-1.22	0.000
233.39	30.967	-12.752	39.38		11.024	11.153	-151.98		-1.22	0.000
233.68	30.903	-12.969	39.45		10.994	11.124	-143.88		-1.22	0.000
233.96	30.836	-13.149	39.51		10.965	11.096	-145.72		-1.22	0.000
234.23	30.769	-13.293	39.58		10.938	11.070	-166.16		-1.22	0.000
234.51	30.726	-13.401	39.62		10.909	11.041	-194.40		-1.22	0.000
234.79	30.659	-13.474	39.69		10.878	11.010	-194.68		-1.22	0.000
235.06	30.591	-13.510	39.76		10.848	10.981	-175.73		-1.22	0.000
235.34	30.524	-13.498	39.83		10.822	10.953	-153.38		-1.22	0.000
235.62	30.480	-13.462	39.87		10.794	10.939	-133.27		-1.22	0.000
235.90	30.413	-13.377	39.94		10.763	10.908	-137.73		-1.22	0.000
236.18	30.346	-13.269	40.00		10.733	10.880	-140.70		-1.22	0.000
236.46	30.280	-13.113	40.07		10.694	10.848	-144.43		-1.22	0.000
