Name           :	.2mgmlPOPG_Osc1	
User           :	Isaac	
Date           :	7/31/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	POPG	
MW             :	771.0	
Concentration  :	0.200	
Unit           :	mg/ml           	
Volume         :	45.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
30.27	4.805	22.248	65.55	93.23	5.920	2.290	64.06		-1.06	0.000
30.54	4.916	22.224	65.43	93.07	5.935	2.294	31.44		-1.06	0.000
30.81	4.991	22.139	65.36	92.96	5.963	2.306	-27.01		-1.06	0.000
31.07	5.100	22.007	65.25	92.81	6.000	2.328	-51.92		-1.06	0.000
31.34	5.211	21.815	65.14	92.65	6.032	2.341	-100.08		-1.06	0.000
31.62	5.320	21.575	65.03	92.49	6.062	2.370	-129.75		-1.06	0.000
31.89	5.391	21.262	64.96	92.39	6.097	2.398	-181.14		-1.06	0.000
32.16	5.493	20.889	64.86	92.25	6.123	2.430	-198.18		-1.06	0.000
32.44	5.598	20.481	64.75	92.10	6.152	2.460	-193.64		-1.06	0.000
32.71	5.665	20.000	64.68	92.00	6.166	2.489	-172.66		-1.06	0.000
32.99	5.764	19.459	64.59	91.86	6.193	2.514	-135.56		-1.06	0.000
33.26	5.860	18.882	64.49	91.72	6.222	2.542	-116.93		-1.06	0.000
33.54	5.952	18.245	64.40	91.59	6.248	2.568	-100.84		-1.06	0.000
33.80	6.014	17.572	64.34	91.51	6.275	2.596	-89.75		-1.06	0.000
34.08	6.098	16.839	64.25	91.39	6.299	2.623	-50.38		-1.06	0.000
34.35	6.181	16.094	64.17	91.27	6.319	2.633	-29.03		-1.06	0.000
34.62	6.233	15.252	64.12	91.19	6.343	2.658	9.89		-1.06	0.000
34.88	6.306	14.423	64.04	91.09	6.358	2.685	21.67		-1.06	0.000
35.17	6.378	13.546	63.97	90.99	6.375	2.705	37.48		-1.06	0.000
35.43	6.442	12.644	63.91	90.90	6.392	2.724	25.28		-1.06	0.000
35.70	6.483	11.647	63.87	90.84	6.409	2.745	-39.05		-1.06	0.000
35.97	6.539	10.697	63.81	90.76	6.425	2.763	-74.44		-1.06	0.000
36.25	6.589	9.688	63.76	90.69	6.439	2.777	-123.66		-1.06	0.000
36.52	6.622	8.654	63.73	90.64	6.449	2.793	-132.56		-1.06	0.000
36.79	6.660	7.584	63.69	90.59	6.465	2.799	-138.39		-1.06	0.000
37.06	6.695	6.502	63.66	90.54	6.464	2.810	-135.75		-1.06	0.000
37.34	6.715	5.385	63.63	90.51	6.473	2.820	-129.67		-1.06	0.000
37.61	6.739	4.279	63.61	90.47	6.481	2.830	-128.15		-1.06	0.000
37.89	6.757	3.149	63.59	90.45	6.482	2.837	-125.19		-1.06	0.000
38.15	6.768	2.031	63.58	90.43	6.491	2.844	-120.69		-1.06	0.000
38.43	6.774	0.853	63.58	90.42	6.483	2.849	-62.54		-1.06	0.000
38.69	6.775	-0.240	63.57	90.42	6.487	2.851	-30.08		-1.06	0.000
38.96	6.775	-1.394	63.57	90.42	6.486	2.851	23.12		-1.06	0.000
39.22	6.775	-2.500	63.57	90.42	6.483	2.851	30.13		-1.06	0.000
39.49	6.764	-3.606	63.59	90.44	6.485	2.851	32.60		-1.06	0.000
39.76	6.742	-4.700	63.61	90.47	6.477	2.850	20.35		-1.06	0.000
40.03	6.724	-5.805	63.63	90.50	6.478	2.848	-6.63		-1.06	0.000
40.31	6.692	-6.887	63.66	90.54	6.473	2.847	-14.45		-1.06	0.000
40.58	6.654	-7.957	63.70	90.60	6.465	2.842	-46.99		-1.06	0.000
40.85	6.610	-9.026	63.74	90.66	6.461	2.838	-74.84		-1.06	0.000
41.13	6.581	-10.072	63.77	90.70	6.458	2.835	-123.09		-1.06	0.000
41.40	6.528	-11.058	63.82	90.77	6.458	2.834	-145.61		-1.06	0.000
41.68	6.469	-12.055	63.88	90.86	6.451	2.833	-140.82		-1.06	0.000
41.95	6.427	-13.005	63.92	90.92	6.447	2.829	-123.51		-1.06	0.000
