    energy         compton       compton a        coherent   photoelectric
  ________   _____________   _____________   _____________   _____________
                                                                          
         2         1.57000      0.00609000         94.8000         130000.
         3         2.30000       0.0133000         77.6000         45800.0
         4         2.85000       0.0219000         65.4000         21000.0
         5         3.32000       0.0318000         56.2000         11200.0
         6         3.73000       0.0427000         48.9000         6690.00
         8         4.45000       0.0674000         37.4000         2920.00
        10         5.04000       0.0944000         29.0000         1520.00
        15         6.01000        0.166000         16.7000         450.000
        20         6.54000        0.236000         10.9000         187.000
        30         7.01000        0.365000         5.86000         53.0000
        40         7.16000        0.478000         3.68000         21.4000
        50         7.18000        0.579000         2.52000         10.6000
        60         7.12000        0.668000         1.83000         5.95000
        80         6.92000        0.810000         1.08000         2.37000
       100         6.68000        0.922000        0.713000         1.14000
       150         6.10000         1.11000        0.330000        0.304000
       200         5.63000         1.22000        0.190000        0.125000
