  k = 1.91, E3 = 15, 3.4 x 1.5 mm
  _______________________________
                                 
              E               F  
  _____________   _____________  
                                 
        5.00000    4.20355E+014  
        5.01736    2.20459E+014  
        5.03472    8.86745E+013  
        5.05208    3.90296E+013  
        5.06944    3.32245E+013  
        5.09549    2.68991E+013  
        5.11285    1.81413E+013  
        5.13889    1.47294E+013  
        5.15625    1.41837E+013  
        5.18229    9.97347E+012  
        5.20833    8.74310E+012  
        5.22569    8.53715E+012  
        5.25174    6.52403E+012  
        5.27778    5.92667E+012  
        5.30382    5.51781E+012  
        5.32986    4.41530E+012  
        5.35590    4.36463E+012  
        5.39063    3.56439E+012  
        5.41667    3.35150E+012  
        5.44271    3.19334E+012  
        5.47743    2.67248E+012  
        5.50347    2.67041E+012  
        5.53819    2.23273E+012  
        5.56424    2.22879E+012  
        5.59896    1.94599E+012  
        5.62500    1.87227E+012  
        5.65972    1.74079E+012  
        5.69444    1.61265E+012  
        5.72917    1.51118E+012  
        5.76389    1.41202E+012  
        5.79861    1.33264E+012  
        5.83333    1.25434E+012  
        5.86806    1.19120E+012  
        5.90278    1.12905E+012  
        5.93750    1.07786E+012  
        5.97222    1.02814E+012  
        6.00694    9.86711E+011  
        6.05035    9.49648E+011  
        6.08507    8.93098E+011  
        6.11979    8.83023E+011  
        6.16319    8.26115E+011  
        6.19792    8.26504E+011  
        6.24132    7.80390E+011  
        6.27604    7.76453E+011  
        6.31944    7.48278E+011  
        6.35417    7.34858E+011  
        6.39757    7.24318E+011  
        6.44097    7.00386E+011  
        6.47569    7.04705E+011  
        6.51910    6.86674E+011  
        6.56250    6.85722E+011  
        6.59722    6.82645E+011  
        6.64063    6.78762E+011  
        6.68403    6.86924E+011  
        6.72743    6.84458E+011  
        6.77083    6.94051E+011  
        6.80556    7.01094E+011  
        6.84896    7.11279E+011  
        6.89236    7.31495E+011  
        6.93576    7.47025E+011  
        6.97917    7.73326E+011  
        7.02257    8.04677E+011  
        7.06597    8.38526E+011  
        7.10938    8.88491E+011  
        7.15278    9.47782E+011  
        7.19618    1.02931E+012  
        7.23958    1.16318E+012  
        7.28299    1.56011E+012  
        7.32639    2.67991E+012  
        7.36979    4.71741E+012  
        7.41319    7.78501E+012  
        7.45660    1.18601E+013  
        7.50000    1.68193E+013  
        7.54340    2.26536E+013  
        7.58681    2.95642E+013  
        7.63021    3.80977E+013  
        7.67361    4.98866E+013  
        7.71701    6.21132E+013  
        7.76042    6.79252E+013  
        7.80382    7.26762E+013  
        7.84722    7.74332E+013  
        7.89063    8.23289E+013  
        7.93403    8.74025E+013  
        7.97743    9.26659E+013  
        8.02083    9.81314E+013  
        8.06424    1.03800E+014  
        8.10764    1.09672E+014  
        8.15104    1.15751E+014  
        8.19444    1.22030E+014  
        8.22917    1.27198E+014  
        8.27257    1.33837E+014  
        8.31597    1.40664E+014  
        8.35938    1.47676E+014  
        8.40278    1.54862E+014  
        8.43750    1.60729E+014  
        8.48090    1.68201E+014  
        8.52431    1.75810E+014  
        8.55903    1.81987E+014  
        8.60243    1.89797E+014  
        8.64583    1.97691E+014  
        8.68056    2.04047E+014  
        8.72396    2.12017E+014  
        8.75868    2.18392E+014  
