  k = 1.91, E3 = 15, 1.4 x 1.5 mm
  _______________________________
                                 
              E               F  
  _____________   _____________  
                                 
        5.00000    2.82487E+014  
        5.01736    1.47981E+014  
        5.03472    5.89233E+013  
        5.05208    2.53693E+013  
        5.06944    2.15774E+013  
        5.09549    1.74954E+013  
        5.11285    1.16268E+013  
        5.13889    9.39551E+012  
        5.15625    9.08867E+012  
        5.18229    6.29277E+012  
        5.20833    5.50349E+012  
        5.22569    5.39904E+012  
        5.25174    4.06623E+012  
        5.27778    3.69178E+012  
        5.30382    3.44317E+012  
        5.32986    2.71664E+012  
        5.35590    2.70240E+012  
        5.39063    2.18428E+012  
        5.41667    2.05246E+012  
        5.44271    1.96259E+012  
        5.47743    1.62078E+012  
        5.50347    1.63393E+012  
        5.53819    1.34679E+012  
        5.56424    1.35526E+012  
        5.59896    1.17298E+012  
        5.62500    1.13201E+012  
        5.65972    1.05085E+012  
        5.69444    9.74002E+011  
        5.72917    9.13832E+011  
        5.76389    8.55600E+011  
        5.79861    8.09237E+011  
        5.83333    7.67874E+011  
        5.86806    7.29515E+011  
        5.90278    7.02561E+011  
        5.93750    6.72388E+011  
        5.97222    6.52687E+011  
        6.00694    6.36534E+011  
        6.05035    6.23639E+011  
        6.08507    6.06273E+011  
        6.11979    6.00745E+011  
        6.16319    5.98330E+011  
        6.19792    6.00855E+011  
        6.24132    6.14960E+011  
        6.27604    6.12610E+011  
        6.31944    6.55669E+011  
        6.35417    6.42098E+011  
        6.39757    7.12287E+011  
        6.44097    7.01449E+011  
        6.47569    7.85033E+011  
        6.51910    7.90188E+011  
        6.56250    9.05877E+011  
        6.59722    9.17360E+011  
        6.64063    1.03155E+012  
        6.68403    1.08640E+012  
        6.72743    1.23688E+012  
        6.77083    1.29706E+012  
        6.80556    1.43867E+012  
        6.84896    1.58103E+012  
        6.89236    1.75520E+012  
        6.93576    1.93484E+012  
        6.97917    2.14942E+012  
        7.02257    2.37826E+012  
        7.06597    2.63603E+012  
        7.10938    2.93271E+012  
        7.15278    3.23462E+012  
        7.19618    3.61331E+012  
        7.23958    3.96613E+012  
        7.28299    4.45279E+012  
        7.32639    4.84559E+012  
        7.36979    5.47757E+012  
        7.41319    5.90941E+012  
        7.45660    6.71345E+012  
        7.50000    7.18467E+012  
        7.54340    8.20243E+012  
        7.58681    8.70691E+012  
        7.63021    9.97651E+012  
        7.67361    1.05198E+013  
        7.71701    1.20836E+013  
        7.76042    1.26621E+013  
        7.80382    1.45666E+013  
        7.84722    1.51952E+013  
        7.89063    1.74703E+013  
        7.93403    1.81689E+013  
        7.97743    2.08587E+013  
        8.02083    2.16417E+013  
        8.06424    2.47763E+013  
        8.10764    2.56882E+013  
        8.15104    2.92751E+013  
        8.19444    3.03788E+013  
        8.22917    3.41116E+013  
        8.27257    3.49102E+013  
        8.31597    3.99475E+013  
        8.35938    4.09222E+013  
        8.40278    4.64927E+013  
        8.43750    4.69102E+013  
        8.48090    5.32787E+013  
        8.52431    5.44472E+013  
        8.55903    6.06054E+013  
        8.60243    6.19047E+013  
        8.64583    6.96487E+013  
        8.68056    7.01830E+013  
        8.72396    7.84922E+013  
        8.75868    7.91912E+013  
