  k = 1.24, E1 = 8, 3.4 x 1.5 mm
  ______________________________
                                
              E               F 
  _____________   _____________ 
                                
        5.04167    4.99375E+012 
        5.11111    5.78620E+012 
        5.16667    6.65251E+012 
        5.23611    7.76610E+012 
        5.30556    8.89753E+012 
        5.37500    1.02151E+013 
        5.44444    1.18718E+013 
        5.50000    1.36129E+013 
        5.56944    1.55527E+013 
        5.63889    1.76516E+013 
        5.69444    2.00470E+013 
        5.76389    2.31089E+013 
        5.83333    2.62095E+013 
        5.88889    2.90134E+013 
        5.95833    3.34377E+013 
        6.01389    3.69699E+013 
        6.08333    4.17973E+013 
        6.13889    4.67658E+013 
        6.20833    5.30261E+013 
        6.26389    5.82713E+013 
        6.31944    6.47729E+013 
        6.38889    7.32880E+013 
        6.44444    8.06393E+013 
        6.50000    8.93870E+013 
        6.55556    9.84447E+013 
        6.61111    1.08852E+014 
        6.66667    1.20406E+014 
        6.72222    1.33047E+014 
        6.77778    1.47722E+014 
        6.83333    1.63957E+014 
        6.88889    1.82804E+014 
        6.94444    2.04591E+014 
        7.00000    2.29812E+014 
        7.04167    2.51696E+014 
        7.09722    2.84182E+014 
        7.13889    3.11619E+014 
        7.19444    3.50014E+014 
        7.23611    3.80039E+014 
        7.29167    4.18118E+014 
        7.33333    4.44717E+014 
        7.37500    4.68174E+014 
        7.43056    4.94231E+014 
        7.47222    5.10746E+014 
        7.51389    5.24239E+014 
        7.55556    5.36727E+014 
        7.59722    5.48291E+014 
        7.63889    5.58172E+014 
        7.66667    5.65637E+014 
        7.70833    5.76226E+014 
        7.75000    5.84254E+014 
        7.77778    5.91562E+014 
        7.81944    6.00607E+014 
        7.84722    6.01331E+014 
        7.88889    6.07856E+014 
        7.91667    6.11009E+014 
        7.94444    5.79288E+014 
        7.97222    4.81749E+014 
        8.00000    3.28217E+014 
        8.02778    1.72961E+014 
        8.05556    7.07189E+013 
        8.08333    3.22608E+013 
        8.11111    2.77172E+013 
        8.15278    2.27548E+013 
        8.18056    1.58955E+013 
        8.22222    1.32011E+013 
        8.25000    1.28087E+013 
        8.29167    9.64931E+012 
        8.33333    8.53311E+012 
        8.36111    8.42970E+012 
        8.40278    7.00346E+012 
        8.44444    6.60695E+012 
        8.48611    6.19162E+012 
        8.52778    5.45046E+012 
        8.56944    5.69936E+012 
        8.62500    4.88266E+012 
        8.66667    4.90148E+012 
        8.70833    5.08583E+012 
        8.76389    4.59530E+012 
        8.80556    4.66579E+012 
        8.86111    4.89190E+012 
        8.90278    4.80959E+012 
        8.95833    4.61552E+012 
        9.00000    5.03338E+012 
        9.05556    5.07142E+012 
        9.11111    4.91870E+012 
        9.16667    5.76152E+012 
        9.22222    5.44210E+012 
        9.27778    5.60925E+012 
        9.33333    6.63516E+012 
        9.38889    6.07532E+012 
        9.44444    6.60368E+012 
        9.50000    7.78783E+012 
        9.55556    6.94424E+012 
        9.61111    7.78115E+012 
        9.68056    8.98054E+012 
        9.73611    8.27587E+012 
        9.79167    9.82750E+012 
        9.86111    1.00343E+013 
        9.91667    1.00136E+013 
        9.98611    1.26624E+013 
        10.0417    1.15387E+013 
        10.1111    1.31215E+013 
        10.1667    1.50223E+013 
