  k = 1.24, E1 = 8, 1.4 x 1.5 mm
  ______________________________
                                
              E               F 
  _____________   _____________ 
                                
        5.04167    9.42021E+011 
        5.11111    1.09751E+012 
        5.16667    1.26827E+012 
        5.23611    1.51095E+012 
        5.30556    1.76674E+012 
        5.37500    2.09603E+012 
        5.44444    2.49516E+012 
        5.50000    2.91970E+012 
        5.56944    3.46404E+012 
        5.63889    4.06858E+012 
        5.69444    4.74666E+012 
        5.76389    5.66755E+012 
        5.83333    6.70434E+012 
        5.88889    7.65144E+012 
        5.95833    9.14958E+012 
        6.01389    1.04811E+013 
        6.08333    1.23300E+013 
        6.13889    1.42317E+013 
        6.20833    1.68033E+013 
        6.26389    1.91175E+013 
        6.31944    2.19034E+013 
        6.38889    2.58423E+013 
        6.44444    2.94005E+013 
        6.50000    3.36351E+013 
        6.55556    3.83125E+013 
        6.61111    4.37459E+013 
        6.66667    5.00020E+013 
        6.72222    5.71142E+013 
        6.77778    6.55204E+013 
        6.83333    7.52138E+013 
        6.88889    8.67079E+013 
        6.94444    1.00384E+014 
        7.00000    1.16667E+014 
        7.04167    1.31006E+014 
        7.09722    1.52766E+014 
        7.13889    1.71365E+014 
        7.19444    1.97855E+014 
        7.23611    2.18796E+014 
        7.29167    2.45847E+014 
        7.33333    2.65018E+014 
        7.37500    2.82332E+014 
        7.43056    3.02077E+014 
        7.47222    3.15090E+014 
        7.51389    3.26161E+014 
        7.55556    3.36751E+014 
        7.59722    3.46863E+014 
        7.63889    3.56019E+014 
        7.66667    3.62835E+014 
        7.70833    3.72762E+014 
        7.75000    3.81157E+014 
        7.77778    3.88211E+014 
        7.81944    3.97618E+014 
        7.84722    4.00339E+014 
        7.88889    4.08316E+014 
        7.91667    4.12950E+014 
        7.94444    3.93487E+014 
        7.97222    3.28290E+014 
        8.00000    2.23858E+014 
        8.02778    1.17606E+014 
        8.05556    4.74239E+013 
        8.08333    2.09756E+013 
        8.11111    1.78951E+013 
        8.15278    1.45490E+013 
        8.18056    9.88717E+012 
        8.22222    8.05369E+012 
        8.25000    7.76996E+012 
        8.29167    5.53544E+012 
        8.33333    4.85547E+012 
        8.36111    4.75817E+012 
        8.40278    3.68361E+012 
        8.44444    3.36317E+012 
        8.48611    3.14551E+012 
        8.52778    2.54954E+012 
        8.56944    2.54968E+012 
        8.62500    2.09816E+012 
        8.66667    2.00606E+012 
        8.70833    1.92935E+012 
        8.76389    1.65695E+012 
        8.80556    1.65240E+012 
        8.86111    1.46634E+012 
        8.90278    1.45311E+012 
        8.95833    1.31671E+012 
        9.00000    1.30639E+012 
        9.05556    1.25821E+012 
        9.11111    1.18468E+012 
        9.16667    1.21850E+012 
        9.22222    1.14608E+012 
        9.27778    1.13983E+012 
        9.33333    1.19227E+012 
        9.38889    1.13119E+012 
        9.44444    1.16739E+012 
        9.50000    1.25329E+012 
        9.55556    1.18179E+012 
        9.61111    1.25154E+012 
        9.68056    1.37717E+012 
        9.73611    1.31267E+012 
        9.79167    1.48318E+012 
        9.86111    1.51604E+012 
        9.91667    1.54336E+012 
        9.98611    1.85141E+012 
        10.0417    1.76785E+012 
        10.1111    1.98651E+012 
        10.1667    2.24573E+012 
