 flux tru 2x1 mm ap., at 28m, k=2 
 ________________________________ 
                                  
          energy              flux
  ______________    ______________
                                  
       0.0000000        0.02334208
      0.02209743      4.549663E+10
      0.04419487      1.762981E+09
      0.07734102      1.466560E+10
      0.09943845      3.449474E+10
       0.1325846      9.919755E+09
       0.1546820      3.806145E+10
       0.1878282      3.740781E+10
       0.2209743      1.631212E+10
       0.2651692      1.869386E+10
       0.2983153      1.604012E+10
       0.3314615      3.417009E+10
       0.3756564      3.411024E+10
       0.4198512      3.425935E+10
       0.4640461      3.458035E+10
       0.5082410      3.504938E+10
       0.5524359      3.564877E+10
       0.5966307      3.636688E+10
       0.6408256      3.719447E+10
       0.6850204      3.812691E+10
       0.7402641      2.968664E+10
       0.7844589      3.129063E+10
       0.8397025      3.917913E+10
       0.8838974      4.084355E+10
       0.9391410      5.105398E+10
       0.9943845      4.756354E+10
        1.038579      4.936525E+10
        1.093823      4.477037E+10
        1.149067      5.281026E+10
        1.204310      6.234701E+10
        1.259554      6.060085E+10
        1.314797      5.811975E+10
        1.370041      6.681966E+10
        1.425284      7.682580E+10
        1.480528      7.701126E+10
        1.535772      7.688165E+10
        1.591015      8.725542E+10
        1.646259      9.914574E+10
        1.701502      1.021170E+11
        1.756746      1.052050E+11
        1.811990      1.192850E+11
        1.867233      1.357084E+11
        1.922477      1.435402E+11
        1.977720      1.524465E+11
        2.032964      1.765422E+11
        2.088207      2.070518E+11
        2.143451      2.327230E+11
        2.187646      2.676304E+11
        2.242889      3.223473E+11
        2.298133      4.307839E+11
        2.342328      5.551571E+11
        2.397572      8.139485E+11
        2.441767      1.125998E+12
        2.497010      1.726925E+12
        2.541205      2.495513E+12
        2.585400      3.634499E+12
        2.629595      5.310669E+12
        2.673790      7.760958E+12
        2.717984      1.132311E+13
        2.762179      1.648296E+13
        2.806374      2.394993E+13
        2.850569      3.479544E+13
        2.883715      4.626798E+13
        2.916861      6.150347E+13
        2.961056      9.090621E+13
        2.994202      1.227759E+14
        3.027349      1.684567E+14
        3.049446      2.088321E+14
        3.082592      2.878781E+14
        3.104690      3.597709E+14
        3.137836      4.809671E+14
        3.159933      5.371886E+14
        3.182030      3.268742E+14
        3.204128      6.445922E+13
        3.226225      2.050931E+13
        3.259372      8.537519E+12
        3.281469      8.233093E+12
        3.314615      4.550986E+12
        3.336713      3.741431E+12
        3.369859      2.987826E+12
        3.403005      2.068427E+12
        3.447200      1.545702E+12
        3.480346      1.199286E+12
        3.513492      1.093514E+12
        3.557687      8.894879E+11
        3.601882      7.404981E+11
        3.646077      6.286416E+11
        3.690271      5.423016E+11
        3.734467      4.742232E+11
        3.778661      4.199674E+11
        3.822856      3.761809E+11
        3.867051      3.402718E+11
        3.922295      3.004768E+11
        3.966489      2.785132E+11
        4.021733      2.587943E+11
        4.065928      2.493912E+11
        4.121171      2.430606E+11
        4.176415      2.396943E+11
        4.220610      2.419543E+11
        4.275854      2.520886E+11
        4.331097      2.714581E+11
        4.386341      3.035664E+11
        4.441584      3.519180E+11
        4.496828      4.202341E+11
        4.552072      5.126039E+11
        4.607315      6.377160E+11
        4.662559      8.076473E+11
        4.717802      1.035234E+12
        4.773046      1.333593E+12
