       app. 2x1 mm.,28m,k=2.25    
       _______________________    
                                  
          energy              flux
  ______________    ______________
                                  
       0.0000000        0.02775079
      0.02773529      5.305496E+10
      0.05547058      2.742229E+09
      0.09707352      1.615728E+10
       0.1248088      4.115562E+10
       0.1664117      1.375447E+10
       0.1941470      4.234816E+10
       0.2357500      4.353536E+10
       0.2773529      2.124667E+10
       0.3328235      2.392331E+10
       0.3744264      1.971617E+10
       0.4160293      3.817802E+10
       0.4714999      3.825004E+10
       0.5269705      3.856568E+10
       0.5824411      3.907863E+10
       0.6379117      3.975824E+10
       0.6933823      4.058310E+10
       0.7488528      4.153896E+10
       0.8043234      4.261579E+10
       0.8597940      4.380808E+10
       0.9291322      3.625580E+10
       0.9846027      3.812108E+10
        1.053941      4.658440E+10
        1.109412      4.849295E+10
        1.178750      5.858326E+10
        1.248088      5.536825E+10
        1.303559      5.753618E+10
        1.372897      5.381925E+10
        1.442235      6.240889E+10
        1.511573      7.213948E+10
        1.580912      7.099072E+10
        1.650250      6.950189E+10
        1.719588      7.894080E+10
        1.788926      8.948172E+10
        1.858264      9.061253E+10
        1.927603      9.178988E+10
        1.996941      1.033019E+11
        2.066279      1.162720E+11
        2.135617      1.208098E+11
        2.204955      1.259186E+11
        2.274294      1.421955E+11
        2.343632      1.618671E+11
        2.412970      1.740723E+11
        2.482308      1.896686E+11
        2.551647      2.231864E+11
        2.620985      2.696914E+11
        2.690323      3.236255E+11
        2.745794      3.946501E+11
        2.815132      5.215566E+11
        2.884470      7.469760E+11
        2.939941      1.013133E+12
        3.009279      1.535052E+12
        3.064749      2.152576E+12
        3.134088      3.297652E+12
        3.189558      4.671499E+12
        3.245029      6.610639E+12
        3.300499      9.330680E+12
        3.355970      1.312794E+13
        3.411441      1.841266E+13
        3.466911      2.576684E+13
        3.522382      3.604628E+13
        3.577852      5.062009E+13
        3.619455      6.553470E+13
        3.661058      8.487155E+13
        3.716529      1.210884E+14
        3.758132      1.588313E+14
        3.799735      2.101018E+14
        3.827470      2.531339E+14
        3.869073      3.320821E+14
        3.896808      3.991227E+14
        3.938411      5.034051E+14
        3.966146      5.428408E+14
        3.993882      3.248210E+14
        4.021617      6.471996E+13
        4.049352      2.126227E+13
        4.090955      9.066334E+12
        4.118690      8.601322E+12
        4.160293      4.863059E+12
        4.188029      3.995223E+12
        4.229632      3.190200E+12
        4.271235      2.244917E+12
        4.326705      1.688124E+12
        4.368308      1.323636E+12
        4.409911      1.199373E+12
        4.465382      9.811572E+11
        4.520852      8.205440E+11
        4.576323      6.992292E+11
        4.631793      6.070340E+11
        4.687264      5.375526E+11
        4.742734      4.813569E+11
        4.798205      4.365932E+11
        4.853676      4.019280E+11
        4.923014      3.675207E+11
        4.978485      3.519403E+11
        5.047823      3.432325E+11
        5.103293      3.432330E+11
        5.172632      3.543837E+11
        5.241970      3.791363E+11
        5.297441      4.104142E+11
        5.366778      4.675151E+11
        5.436117      5.492150E+11
        5.505455      6.608560E+11
        5.574793      8.105456E+11
        5.644131      1.005469E+12
        5.713470      1.257412E+12
        5.782808      1.577753E+12
        5.852146      1.983461E+12
        5.921484      2.491543E+12
        5.990823      3.122439E+12
