    undulator A at 12 keV FHE  
    _________________________  
                               
              E            flux
  _____________   _____________
                               
        1.00000     8.24653E+10
        1.06250     8.87731E+10
        1.14583     8.17455E+10
        1.20833     9.27314E+10
        1.29167     8.40802E+10
        1.35417     9.39274E+10
        1.43750     8.94776E+10
        1.50000     9.39212E+10
        1.58333     9.65205E+10
        1.66667     9.83012E+10
        1.75000     1.01006E+11
        1.83333     1.03057E+11
        1.91667     1.05923E+11
        2.00000     1.08264E+11
        2.08333     1.11344E+11
        2.16667     1.14017E+11
        2.25000     1.17391E+11
        2.33333     1.20482E+11
        2.41667     1.24336E+11
        2.52083     1.31553E+11
        2.60417     1.32097E+11
        2.68750     1.53814E+11
        2.79167     2.28990E+11
        2.87500     3.28670E+11
        2.97917     4.75891E+11
        3.06250     6.47206E+11
        3.16667     8.82502E+11
        3.25000     1.00943E+12
        3.35417     1.21330E+12
        3.45833     1.35880E+12
        3.54167     1.56902E+12
        3.64583     1.79053E+12
        3.75000     2.03426E+12
        3.83333     2.27629E+12
        3.93750     2.54697E+12
        4.04167     2.77897E+12
        4.14583     3.14717E+12
        4.25000     3.52160E+12
        4.33333     3.79938E+12
        4.43750     4.14167E+12
        4.54167     4.48901E+12
        4.64583     4.87253E+12
        4.75000     5.30028E+12
        4.85417     5.81511E+12
        4.95833     6.28638E+12
        5.06250     6.89233E+12
        5.16667     7.56232E+12
        5.27083     8.10999E+12
        5.37500     8.89520E+12
        5.47917     9.91636E+12
        5.58333     1.07611E+13
        5.68750     1.15410E+13
        5.79167     1.26952E+13
        5.89583     1.42367E+13
        6.00000     1.58080E+13
        6.10417     1.72598E+13
        6.20833     1.87487E+13
        6.31250     2.04722E+13
        6.41667     2.25872E+13
        6.52083     2.50872E+13
        6.62500     2.79705E+13
        6.72917     3.13256E+13
        6.83333     3.51466E+13
        6.93750     3.95739E+13
        7.04167     4.46145E+13
        7.14583     5.11019E+13
        7.25000     5.73552E+13
        7.35417     6.32634E+13
        7.45833     7.33005E+13
        7.56250     7.95801E+13
        7.66667     8.21243E+13
        7.75000     9.39318E+13
        7.85417     9.24141E+13
        7.95833     9.77628E+13
        8.06250     1.07744E+14
        8.16667     1.01710E+14
        8.25000     1.11964E+14
        8.35417     1.11200E+14
        8.45833     1.08676E+14
        8.54167     1.21041E+14
        8.64583     1.13561E+14
        8.75000     1.24080E+14
        8.83333     1.22675E+14
        8.93750     1.24359E+14
        9.02083     1.33673E+14
        9.12500     1.27785E+14
        9.20833     1.42555E+14
        9.31250     1.35774E+14
        9.39583     1.47180E+14
        9.47917     1.42816E+14
        9.58333     1.48662E+14
        9.66667     1.55651E+14
        9.75000     1.54341E+14
        9.83333     1.63231E+14
        9.91667     1.60469E+14
        10.0000     1.70744E+14
        10.0833     1.67684E+14
        10.1667     1.78100E+14
        10.2500     1.76032E+14
        10.3333     1.85569E+14
        10.4167     1.84847E+14
        10.5000     1.92968E+14
        10.5625     1.92331E+14
        10.6458     2.00362E+14
        10.7083     2.00853E+14
        10.7917     2.07563E+14
        10.8542     2.09325E+14
        10.9375     2.15240E+14
        11.0000     2.18329E+14
        11.0625     2.20964E+14
        11.1458     2.27589E+14
