    undulator B at 12 keV FHE  
    _________________________  
                               
              E            flux
  _____________   _____________
                               
        1.03333     1.44304E+11
        1.08333     1.61608E+11
        1.13333     1.57565E+11
        1.20000     1.59185E+11
        1.25000     1.67299E+11
        1.31667     1.58053E+11
        1.36667     1.73236E+11
        1.43333     1.60876E+11
        1.50000     1.77912E+11
        1.56667     1.66643E+11
        1.61667     1.80186E+11
        1.68333     1.73899E+11
        1.75000     1.85656E+11
        1.81667     1.79972E+11
        1.88333     1.91472E+11
        1.95000     1.86340E+11
        2.01667     1.97657E+11
        2.08333     1.93035E+11
        2.15000     2.04234E+11
        2.21667     2.00092E+11
        2.28333     2.11231E+11
        2.35000     2.07551E+11
        2.43333     2.21243E+11
        2.50000     2.14910E+11
        2.56667     2.29204E+11
        2.65000     2.25896E+11
        2.71667     2.37432E+11
        2.78333     2.34983E+11
        2.86667     2.44492E+11
        2.93333     2.49271E+11
        3.01667     2.52537E+11
        3.08333     2.64394E+11
        3.16667     2.63561E+11
        3.23333     2.78641E+11
        3.31667     2.78437E+11
        3.40000     2.89767E+11
        3.46667     2.96292E+11
        3.55000     3.01892E+11
        3.63333     3.18179E+11
        3.70000     3.17944E+11
        3.78333     3.37001E+11
        3.86667     3.44750E+11
        3.95000     3.53251E+11
        4.01667     3.67805E+11
        4.10000     3.75229E+11
        4.18333     3.97919E+11
        4.26667     4.05780E+11
        4.35000     4.18497E+11
        4.43333     4.50323E+11
        4.50000     4.75073E+11
        4.58333     5.35952E+11
        4.66667     7.67758E+11
        4.75000     1.23580E+12
        4.83333     2.06902E+12
        4.91667     3.18702E+12
        5.00000     4.34584E+12
        5.08333     5.63449E+12
        5.16667     6.92466E+12
        5.25000     8.27471E+12
        5.33333     9.61775E+12
        5.41667     1.09772E+13
        5.50000     1.24028E+13
        5.58333     1.39713E+13
        5.66667     1.58767E+13
        5.75000     1.81233E+13
        5.83333     2.03833E+13
        5.91667     2.16642E+13
        6.00000     2.19913E+13
        6.08333     2.19015E+13
        6.16667     2.37222E+13
        6.25000     2.86402E+13
        6.33333     3.41841E+13
        6.41667     3.59632E+13
        6.50000     3.33646E+13
        6.58333     3.32130E+13
        6.66667     4.12790E+13
        6.75000     5.12816E+13
        6.83333     5.24260E+13
        6.91667     4.80976E+13
        7.00000     5.43921E+13
        7.08333     6.90698E+13
        7.16667     7.37863E+13
        7.25000     6.94484E+13
        7.33333     8.03799E+13
        7.41667     9.81425E+13
        7.50000     1.01686E+14
        7.56667     1.04137E+14
        7.65000     1.29226E+14
        7.73333     1.31988E+14
        7.81667     1.43029E+14
        7.90000     1.66079E+14
        7.98333     1.90000E+14
        8.05000     1.89568E+14
        8.13333     2.15242E+14
        8.21667     2.33284E+14
        8.30000     2.20671E+14
        8.36667     2.78747E+14
        8.45000     2.30087E+14
        8.53333     2.87645E+14
        8.60000     2.61886E+14
        8.68333     2.85491E+14
        8.76667     2.77569E+14
        8.83333     2.80331E+14
        8.91667     3.03578E+14
        8.98333     2.82300E+14
        9.06667     3.30560E+14
        9.13333     2.94972E+14
        9.21667     3.43975E+14
        9.28333     3.19773E+14
        9.35000     3.14757E+14
        9.43333     3.55230E+14
