              A               B
  _____________   _____________
                               
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        299.250         308.342
        11.2400         11.3947
        22.4400         22.8817
        33.6200         34.2061
        44.7700         45.4958
        55.8800         56.7506
        66.9600         68.0961
        78.0200         79.2795
        89.0400         90.4261
        100.020         101.659
        110.970         112.718
        121.780         123.643
        132.440         134.400
        142.910         145.087
        153.190         155.449
        163.260         165.594
        173.090         175.605
        182.620         185.197
        191.890         194.539
        200.900         203.555
        209.580         212.341
        217.830         220.633
        225.500         228.361
        232.800         235.687
        239.740         242.539
        246.230         248.973
        252.210         254.875
        257.610         260.077
        262.310         264.149
        266.170         267.261
        268.800         269.618
        269.100         270.454
        264.870         268.179
        255.620         262.288
        242.920         253.227
        230.310         243.943
        219.240         233.301
        210.140         220.461
        202.890         210.155
        197.210         202.632
        192.760         197.050
        189.250         192.531
        186.430         188.827
        184.110         185.736
        182.170         183.117
        180.490         180.924
        178.990         179.030
        177.620         177.350
        176.340         175.800
        175.100         174.356
        173.880         172.951
        172.660         171.521
        171.410         170.046
        170.100         168.434
        168.720         166.551
        167.230         164.095
        165.580         160.895
        163.730         157.012
        161.610         152.635
        159.090         148.083
        155.970         143.398
        151.900         138.467
        146.170         132.838
        137.780         126.031
        126.810         118.000
        114.540         109.374
        102.050         100.951
        90.0000         92.9951
        78.8100         85.7272
        68.7300         79.2020
        59.8800         73.5960
        52.2500         68.7853
        45.7200         64.6366
