           Pink shutter values, vertical angle = 2.7 mr          
           ____________________________________________          
                                                                 
  hmir_ang          x         sx         sy      power      htilt
  ________    _______    _______    _______    _______    _______
                                                                 
    -2.143     -6.000     3.0807     0.0568     299.25     24.114
    -1.964     -5.500     3.0807     0.0568     299.25     24.114
    -1.786     -5.000     3.0807     0.0568     299.25     24.114
    -1.607     -4.500     3.0807     0.0568     299.25     24.114
    -1.429     -4.000     3.0807     0.0568     299.25     24.114
    -1.250     -3.500     3.0807     0.0568     299.25     24.114
    -1.071     -3.000     3.0807     0.0568     299.25     24.114
    -0.893     -2.500     3.0807     0.0568     299.25     24.114
    -0.714     -2.000     3.0807     0.0568     299.25     24.114
    -0.536     -1.500     3.0807     0.0568     299.25     24.114
    -0.357     -1.000     3.0807     0.0568     299.25     24.114
    -0.179     -0.500     3.0807     0.0568     299.25     24.114
     0.000      0.000     3.0807     0.0568     299.25     24.114
     0.179      0.500     0.0325     0.0568      22.44      6.965
     0.357      1.000     0.0325     0.0568      44.77      2.638
     0.536      1.500     0.0325     0.0568      66.96      1.555
     0.714      2.000     0.0325     0.0568      89.04      1.082
     0.893      2.500     0.0325     0.0568     110.97      0.821
     1.071      3.000     0.0325     0.0568     132.44      0.660
     1.250      3.500     0.1586     0.0568     153.19      2.695
     1.429      4.000     0.3196     0.0568     173.09      4.682
     1.607      4.500     0.4736     0.0568     191.89      6.129
     1.786      5.000     0.6193     0.0568     209.58      7.214
     1.964      5.500     0.7566     0.0568     225.50      8.077
     2.143      6.000     0.8853     0.0568     239.74      8.790
     2.321      6.500     1.0056     0.0568     252.21      9.403
     2.500      7.000     1.1178     0.0568     262.31      9.981
     2.679      7.500     1.2223     0.0568     268.80     10.608
     2.857      8.000     1.3194     0.0568     264.87     11.668
     3.036      8.500     1.4097     0.0568     242.92     13.858
     3.214      9.000     1.4936     0.0568     219.24     16.673
     3.393      9.500     1.5715     0.0568     202.89     19.349
     3.571     10.000     1.6439     0.0568     192.76     21.632
     3.750     10.500     1.7112     0.0568     186.43     23.549
     3.929     11.000     1.7738     0.0568     182.17     25.206
     4.107     11.500     1.8321     0.0568     178.99     26.700
     4.286     12.000     1.8863     0.0568     176.34     28.104
     4.464     12.500     1.9370     0.0568     173.88     29.472
     4.643     13.000     1.9842     0.0568     171.41     30.854
     4.821     13.500     2.0284     0.0568     168.72     32.304
     5.000     14.000     2.0697     0.0568     165.58     33.908
     5.179     14.500     2.1084     0.0568     161.61     35.826
     5.357     15.000     2.1447     0.0568     155.97     38.442
     5.536     15.500     2.1788     0.0568     146.17     43.134
     5.714     16.000     2.2108     0.0568     126.81     55.687
     5.893     16.500     2.2410     0.0568     102.05     90.000
     6.071     17.000     2.2694     0.0568      78.81     90.000
     6.250     17.500     2.2961     0.0568      59.88     90.000
     6.429     18.000     2.3214     0.0568      45.72     90.000
