           Pink shutter values, vertical angle = 2.7 mr          
           ____________________________________________          
                                                                 
  hmir_ang          x         sx         sy      power      htilt
  ________    _______    _______    _______    _______    _______
                                                                 
    -2.143     -6.000     3.0807     0.0568     299.25     24.114
    -2.054     -5.750     3.0807     0.0568     299.25     24.114
    -1.964     -5.500     3.0807     0.0568     299.25     24.114
    -1.875     -5.250     3.0807     0.0568     299.25     24.114
    -1.786     -5.000     3.0807     0.0568     299.25     24.114
    -1.696     -4.750     3.0807     0.0568     299.25     24.114
    -1.607     -4.500     3.0807     0.0568     299.25     24.114
    -1.518     -4.250     3.0807     0.0568     299.25     24.114
    -1.429     -4.000     3.0807     0.0568     299.25     24.114
    -1.339     -3.750     3.0807     0.0568     299.25     24.114
    -1.250     -3.500     3.0807     0.0568     299.25     24.114
    -1.161     -3.250     3.0807     0.0568     299.25     24.114
    -1.071     -3.000     3.0807     0.0568     299.25     24.114
    -0.982     -2.750     3.0807     0.0568     299.25     24.114
    -0.893     -2.500     3.0807     0.0568     299.25     24.114
    -0.804     -2.250     3.0807     0.0568     299.25     24.114
    -0.714     -2.000     3.0807     0.0568     299.25     24.114
    -0.625     -1.750     3.0807     0.0568     299.25     24.114
    -0.536     -1.500     3.0807     0.0568     299.25     24.114
    -0.446     -1.250     3.0807     0.0568     299.25     24.114
    -0.357     -1.000     3.0807     0.0568     299.25     24.114
    -0.268     -0.750     3.0807     0.0568     299.25     24.114
    -0.179     -0.500     3.0807     0.0568     299.25     24.114
    -0.089     -0.250     3.0807     0.0568     299.25     24.114
     0.000      0.000     3.0807     0.0568     299.25     24.114
     0.089      0.250     0.0326     0.0568      11.24     21.875
     0.179      0.500     0.0325     0.0568      22.44      6.965
     0.268      0.750     0.0325     0.0568      33.62      3.898
     0.357      1.000     0.0325     0.0568      44.77      2.638
     0.446      1.250     0.0325     0.0568      55.88      1.967
     0.536      1.500     0.0325     0.0568      66.96      1.555
     0.625      1.750     0.0325     0.0568      78.02      1.279
     0.714      2.000     0.0325     0.0568      89.04      1.082
     0.804      2.250     0.0325     0.0568     100.02      0.935
     0.893      2.500     0.0325     0.0568     110.97      0.821
     0.982      2.750     0.0325     0.0568     121.78      0.732
     1.071      3.000     0.0325     0.0568     132.44      0.660
     1.161      3.250     0.0782     0.0568     142.91      1.445
     1.250      3.500     0.1586     0.0568     153.19      2.695
     1.339      3.750     0.2398     0.0568     163.26      3.770
     1.429      4.000     0.3196     0.0568     173.09      4.682
     1.518      4.250     0.3976     0.0568     182.62      5.461
     1.607      4.500     0.4736     0.0568     191.89      6.129
     1.696      4.750     0.5475     0.0568     200.90      6.708
     1.786      5.000     0.6193     0.0568     209.58      7.214
     1.875      5.250     0.6890     0.0568     217.83      7.665
     1.964      5.500     0.7566     0.0568     225.50      8.077
     2.054      5.750     0.8220     0.0568     232.80      8.450
     2.143      6.000     0.8853     0.0568     239.74      8.790
     2.232      6.250     0.9465     0.0568     246.23      9.105
     2.321      6.500     1.0056     0.0568     252.21      9.403
     2.411      6.750     1.0627     0.0568     257.61      9.692
     2.500      7.000     1.1178     0.0568     262.31      9.981
     2.589      7.250     1.1710     0.0568     266.17     10.279
     2.679      7.500     1.2223     0.0568     268.80     10.608
     2.768      7.750     1.2717     0.0568     269.10     11.028
     2.857      8.000     1.3194     0.0568     264.87     11.668
     2.946      8.250     1.3654     0.0568     255.62     12.610
     3.036      8.500     1.4097     0.0568     242.92     13.858
     3.125      8.750     1.4524     0.0568     230.31     15.249
     3.214      9.000     1.4936     0.0568     219.24     16.673
     3.304      9.250     1.5333     0.0568     210.14     18.053
     3.393      9.500     1.5715     0.0568     202.89     19.349
     3.482      9.750     1.6084     0.0568     197.21     20.541
     3.571     10.000     1.6439     0.0568     192.76     21.632
     3.661     10.250     1.6782     0.0568     189.25     22.630
     3.750     10.500     1.7112     0.0568     186.43     23.549
     3.839     10.750     1.7431     0.0568     184.11     24.403
     3.929     11.000     1.7738     0.0568     182.17     25.206
     4.018     11.250     1.8034     0.0568     180.49     25.968
     4.107     11.500     1.8321     0.0568     178.99     26.700
     4.196     11.750     1.8597     0.0568     177.62     27.410
     4.286     12.000     1.8863     0.0568     176.34     28.104
     4.375     12.250     1.9121     0.0568     175.10     28.790
     4.464     12.500     1.9370     0.0568     173.88     29.472
     4.554     12.750     1.9610     0.0568     172.66     30.158
     4.643     13.000     1.9842     0.0568     171.41     30.854
     4.732     13.250     2.0067     0.0568     170.10     31.566
     4.821     13.500     2.0284     0.0568     168.72     32.304
     4.911     13.750     2.0494     0.0568     167.23     33.080
     5.000     14.000     2.0697     0.0568     165.58     33.908
     5.089     14.250     2.0894     0.0568     163.73     34.813
     5.179     14.500     2.1084     0.0568     161.61     35.826
     5.268     14.750     2.1269     0.0568     159.09     37.003
     5.357     15.000     2.1447     0.0568     155.97     38.442
     5.446     15.250     2.1620     0.0568     151.90     40.337
     5.536     15.500     2.1788     0.0568     146.17     43.134
     5.625     15.750     2.1951     0.0568     137.78     47.776
     5.714     16.000     2.2108     0.0568     126.81     55.687
     5.804     16.250     2.2261     0.0568     114.54     70.595
     5.893     16.500     2.2410     0.0568     102.05     90.000
     5.982     16.750     2.2554     0.0568      90.00     90.000
     6.071     17.000     2.2694     0.0568      78.81     90.000
     6.161     17.250     2.2829     0.0568      68.73     90.000
     6.250     17.500     2.2961     0.0568      59.88     90.000
     6.339     17.750     2.3090     0.0568      52.25     90.000
     6.429     18.000     2.3214     0.0568      45.72     90.000
