  Pink shutter values, vertical angle = 2.7 mr, extended temperature range
  ________________________________________________________________________
                                                                          
  hmir_ang          x         sx         sy      power      htilt         
  ________    _______    _______    _______    _______    _______         
                                                                          
    -2.143     -6.000     3.0807     0.0568     299.25     39.696         
    -1.964     -5.500     3.0807     0.0568     299.25     39.696         
    -1.786     -5.000     3.0807     0.0568     299.25     39.696         
    -1.607     -4.500     3.0807     0.0568     299.25     39.696         
    -1.429     -4.000     3.0807     0.0568     299.25     39.696         
    -1.250     -3.500     3.0807     0.0568     299.25     39.696         
    -1.071     -3.000     3.0807     0.0568     299.25     39.696         
    -0.893     -2.500     3.0807     0.0568     299.25     39.696         
    -0.714     -2.000     3.0807     0.0568     299.25     39.696         
    -0.536     -1.500     3.0807     0.0568     299.25     39.696         
    -0.357     -1.000     3.0807     0.0568     299.25     39.696         
    -0.179     -0.500     3.0807     0.0568     299.25     39.696         
     0.000      0.000     3.0807     0.0568     299.25     39.696         
     0.179      0.500     0.0325     0.0568      22.44     12.508         
     0.357      1.000     0.0325     0.0568      44.77      4.411         
     0.536      1.500     0.0325     0.0568      66.96      2.541         
     0.714      2.000     0.0325     0.0568      89.04      1.747         
     0.893      2.500     0.0325     0.0568     110.97      1.316         
     1.071      3.000     0.0325     0.0568     132.44      1.052         
     1.250      3.500     0.1586     0.0568     153.19      4.279         
     1.429      4.000     0.3196     0.0568     173.09      7.420         
     1.607      4.500     0.4736     0.0568     191.89      9.701         
     1.786      5.000     0.6193     0.0568     209.58     11.408         
     1.964      5.500     0.7566     0.0568     225.50     12.764         
     2.143      6.000     0.8853     0.0568     239.74     13.884         
     2.321      6.500     1.0056     0.0568     252.21     14.850         
     2.500      7.000     1.1178     0.0568     262.31     15.763         
     2.679      7.500     1.2223     0.0568     268.80     16.763         
     2.857      8.000     1.3194     0.0568     264.87     18.478         
     3.036      8.500     1.4097     0.0568     242.92     22.088         
     3.214      9.000     1.4936     0.0568     219.24     26.834         
     3.393      9.500     1.5715     0.0568     202.89     31.481         
     3.571     10.000     1.6439     0.0568     192.76     35.573         
     3.750     10.500     1.7112     0.0568     186.43     39.122         
     3.929     11.000     1.7738     0.0568     182.17     42.295         
     4.107     11.500     1.8321     0.0568     178.99     45.260         
     4.286     12.000     1.8863     0.0568     176.34     48.157         
     4.464     12.500     1.9370     0.0568     173.88     51.109         
     4.643     13.000     1.9842     0.0568     171.41     54.253         
     4.821     13.500     2.0284     0.0568     168.72     57.788         
     5.000     14.000     2.0697     0.0568     165.58     62.086         
     5.179     14.500     2.1084     0.0568     161.61     68.083         
     5.357     15.000     2.1447     0.0568     155.97     80.506         
     5.536     15.500     2.1788     0.0568     146.17     90.000         
     5.714     16.000     2.2108     0.0568     126.81     90.000         
     5.893     16.500     2.2410     0.0568     102.05     90.000         
     6.071     17.000     2.2694     0.0568      78.81     90.000         
     6.250     17.500     2.2961     0.0568      59.88     90.000         
     6.429     18.000     2.3214     0.0568      45.72     90.000         
