  Pink shutter values, vertical angle = 2.7 mr, extended temperature range
  ________________________________________________________________________
                                                                          
  hmir_ang          x         sx         sy      power      htilt         
  ________    _______    _______    _______    _______    _______         
                                                                          
    -2.143     -6.000     3.0807     0.0568     299.25     39.696         
    -2.054     -5.750     3.0807     0.0568     299.25     39.696         
    -1.964     -5.500     3.0807     0.0568     299.25     39.696         
    -1.875     -5.250     3.0807     0.0568     299.25     39.696         
    -1.786     -5.000     3.0807     0.0568     299.25     39.696         
    -1.696     -4.750     3.0807     0.0568     299.25     39.696         
    -1.607     -4.500     3.0807     0.0568     299.25     39.696         
    -1.518     -4.250     3.0807     0.0568     299.25     39.696         
    -1.429     -4.000     3.0807     0.0568     299.25     39.696         
    -1.339     -3.750     3.0807     0.0568     299.25     39.696         
    -1.250     -3.500     3.0807     0.0568     299.25     39.696         
    -1.161     -3.250     3.0807     0.0568     299.25     39.696         
    -1.071     -3.000     3.0807     0.0568     299.25     39.696         
    -0.982     -2.750     3.0807     0.0568     299.25     39.696         
    -0.893     -2.500     3.0807     0.0568     299.25     39.696         
    -0.804     -2.250     3.0807     0.0568     299.25     39.696         
    -0.714     -2.000     3.0807     0.0568     299.25     39.696         
    -0.625     -1.750     3.0807     0.0568     299.25     39.696         
    -0.536     -1.500     3.0807     0.0568     299.25     39.696         
    -0.446     -1.250     3.0807     0.0568     299.25     39.696         
    -0.357     -1.000     3.0807     0.0568     299.25     39.696         
    -0.268     -0.750     3.0807     0.0568     299.25     39.696         
    -0.179     -0.500     3.0807     0.0568     299.25     39.696         
    -0.089     -0.250     3.0807     0.0568     299.25     39.696         
     0.000      0.000     3.0807     0.0568     299.25     39.696         
     0.089      0.250     0.0326     0.0568      11.24     51.190         
     0.179      0.500     0.0325     0.0568      22.44     12.508         
     0.268      0.750     0.0325     0.0568      33.62      6.667         
     0.357      1.000     0.0325     0.0568      44.77      4.411         
     0.446      1.250     0.0325     0.0568      55.88      3.244         
     0.536      1.500     0.0325     0.0568      66.96      2.541         
     0.625      1.750     0.0325     0.0568      78.02      2.076         
     0.714      2.000     0.0325     0.0568      89.04      1.747         
     0.804      2.250     0.0325     0.0568     100.02      1.503         
     0.893      2.500     0.0325     0.0568     110.97      1.316         
     0.982      2.750     0.0325     0.0568     121.78      1.169         
     1.071      3.000     0.0325     0.0568     132.44      1.052         
     1.161      3.250     0.0782     0.0568     142.91      2.299         
     1.250      3.500     0.1586     0.0568     153.19      4.279         
     1.339      3.750     0.2398     0.0568     163.26      5.980         
     1.429      4.000     0.3196     0.0568     173.09      7.420         
     1.518      4.250     0.3976     0.0568     182.62      8.648         
     1.607      4.500     0.4736     0.0568     191.89      9.701         
     1.696      4.750     0.5475     0.0568     200.90     10.612         
     1.786      5.000     0.6193     0.0568     209.58     11.408         
     1.875      5.250     0.6890     0.0568     217.83     12.116         
     1.964      5.500     0.7566     0.0568     225.50     12.764         
     2.054      5.750     0.8220     0.0568     232.80     13.350         
     2.143      6.000     0.8853     0.0568     239.74     13.884         
     2.232      6.250     0.9465     0.0568     246.23     14.380         
     2.321      6.500     1.0056     0.0568     252.21     14.850         
     2.411      6.750     1.0627     0.0568     257.61     15.307         
