       C cross sections, total and Compton     
       ___________________________________     
                                               
         E(keV)        st(barn)        sc(barn)
  _____________   _____________   _____________
                                               
        1.00000         43800.0        0.252000
        1.38000         17600.0        0.438000
        1.90000         6960.00        0.716000
        2.33000         3830.00        0.944000
        3.07000         1690.00         1.31000
        4.00000         751.000         1.88000
        5.08000         361.000         2.00000
        7.16000         127.000         2.40000
        10.0000         47.1000         2.70000
        12.9700         23.1000         2.89000
        15.8600         14.5000         3.03000
        18.7800         9.90000         3.15000
        22.3800         7.31000         3.23000
        27.3400         5.81000         3.28000
        33.2500         4.68000         3.30000
        38.7100         4.21000         3.29000
        42.9300         3.98000         3.28000
        48.5900         3.77000         3.26000
        54.8900         3.60000         3.21000
        62.7400         3.44000         3.16000
        75.6100         3.26000         3.08000
        94.9500         3.06000         2.95000
        100.000         3.02000         2.92000
