  Kapton total absorption coefficient
  ___________________________________
                                     
   Energy (keV)   Abs_coeff (1/cm)   
  _____________   ________________   
                                     
        10.0000            5.05529   
        10.5000            4.36679   
        11.0000            3.80257   
        11.5000            3.33635   
        12.0000            2.94807   
        12.5000            2.62233   
        13.0000            2.34718   
        13.5000            2.11324   
        14.0000            1.91315   
        14.5000            1.74104   
        15.0000            1.59219   
        15.5000            1.46283   
        16.0000            1.34984   
        16.5000            1.25071   
        17.0000            1.16337   
        17.5000            1.08609   
        18.0000            1.01747   
        18.5000           0.956313   
        19.0000           0.901637   
        19.5000           0.852602   
        20.0000           0.808499   
        20.5000           0.768722   
        21.0000           0.732735   
        21.5000           0.700081   
        22.0000           0.670369   
        22.5000           0.643261   
        23.0000           0.618470   
        23.5000           0.595743   
        24.0000           0.574865   
        24.5000           0.555646   
        25.0000           0.537920   
        25.5000           0.521542   
        26.0000           0.506383   
        26.5000           0.492331   
        27.0000           0.479286   
        27.5000           0.467159   
        28.0000           0.455870   
        28.5000           0.445349   
        29.0000           0.435533   
        29.5000           0.426365   
        30.0000           0.417793   
