 flux tru 1.5x0.5 mm ap., at 28m, 
 ________________________________ 
                                  
          energy              flux
  ______________    ______________
                                  
       0.0000000       0.009183392
      0.02209743      1.852843E+10
      0.04419487      5.187846E+08
      0.07734102      6.504337E+09
      0.09943845      1.346135E+10
       0.1325846      3.147531E+09
       0.1546820      1.643889E+10
       0.1878282      1.491755E+10
       0.2209743      5.473028E+09
       0.2651692      6.388704E+09
       0.2983153      6.452317E+09
       0.3314615      1.511624E+10
       0.3756564      1.509704E+10
       0.4198512      1.515154E+10
       0.4640461      1.526698E+10
       0.5082410      1.543528E+10
       0.5524359      1.565084E+10
       0.5966307      1.591037E+10
       0.6408256      1.621099E+10
       0.6850204      1.655182E+10
       0.7402641      1.127907E+10
       0.7844589      1.189777E+10
       0.8397025      1.497799E+10
       0.8838974      1.569310E+10
       0.9391410      2.160027E+10
       0.9943845      2.009237E+10
        1.038579      2.078339E+10
        1.093823      1.726661E+10
        1.149067      2.075305E+10
        1.204310      2.617384E+10
        1.259554      2.515733E+10
        1.314797      2.266447E+10
        1.370041      2.653099E+10
        1.425284      3.197733E+10
        1.480528      3.163913E+10
        1.535772      3.020535E+10
        1.591015      3.480440E+10
        1.646259      4.091057E+10
        1.701502      4.159549E+10
        1.756746      4.143915E+10
        1.811990      4.756095E+10
        1.867233      5.547793E+10
        1.922477      5.791535E+10
        1.977720      5.973934E+10
        2.032964      6.920350E+10
        2.088207      8.154709E+10
        2.143451      8.871751E+10
        2.187646      9.996155E+10
        2.242889      1.122835E+11
        2.298133      1.432475E+11
        2.342328      1.748649E+11
        2.397572      2.446020E+11
        2.441767      3.229590E+11
        2.497010      4.706172E+11
        2.541205      6.691528E+11
        2.585400      9.711506E+11
        2.629595      1.429279E+12
        2.673790      2.121503E+12
        2.717984      3.163231E+12
        2.762179      4.726006E+12
        2.806374      7.066898E+12
        2.850569      1.057818E+13
        2.883715      1.440627E+13
        2.916861      1.947592E+13
        2.961056      2.958432E+13
        2.994202      4.082449E+13
        3.027349      5.773878E+13
        3.049446      7.335432E+13
        3.082592      1.069365E+14
        3.104690      1.428865E+14
        3.137836      2.187844E+14
        3.159933      2.772156E+14
        3.182030      1.821726E+14
        3.204128      3.560439E+13
        3.226225      1.007996E+13
        3.259372      3.975384E+12
        3.281469      4.088893E+12
        3.314615      2.109008E+12
        3.336713      1.772959E+12
        3.369859      1.418840E+12
        3.403005      9.337647E+11
        3.447200      6.916554E+11
        3.480346      5.241157E+11
        3.513492      4.921107E+11
        3.557687      3.970680E+11
        3.601882      3.281586E+11
        3.646077      2.766957E+11
        3.690271      2.371808E+11
        3.734467      2.061640E+11
        3.778661      1.814977E+11
        3.822856      1.616129E+11
        3.867051      1.453213E+11
        3.922295      1.265200E+11
        3.966489      1.165264E+11
        4.021733      1.068531E+11
        4.065928      9.976399E+10
        4.121171      9.286214E+10
        4.176415      8.678223E+10
        4.220610      8.325215E+10
        4.275854      8.202899E+10
        4.331097      8.779894E+10
        4.386341      9.214577E+10
        4.441584      9.980977E+10
        4.496828      1.118371E+11
        4.552072      1.288766E+11
        4.607315      1.530979E+11
        4.662559      1.876982E+11
        4.717802      2.358921E+11
        4.773046      3.012069E+11
